sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8450,2025-04-19 22:30,2025-04-19 21:30,83,27.4,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 07:30,2025-04-22 06:30,67,16.5,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 10:30,2025-04-22 09:30,66,16.0,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 11:00,2025-04-22 10:00,66,16.0,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 11:30,2025-04-22 10:30,66,16.0,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 12:30,2025-04-22 11:30,66,16.0,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 13:30,2025-04-22 12:30,66,16.0,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 14:30,2025-04-22 13:30,66,16.0,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 15:30,2025-04-22 14:30,66,16.0,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 16:30,2025-04-22 15:30,65,15.4,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 17:30,2025-04-22 16:30,65,15.4,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 18:30,2025-04-22 17:30,65,15.4,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 19:30,2025-04-22 18:30,65,15.4,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 20:30,2025-04-22 19:30,65,15.4,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 21:30,2025-04-22 20:30,65,15.4,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 22:30,2025-04-22 21:30,64,14.9,450.0,760.0,950.0,običajni pretok,
8450,2025-04-22 23:30,2025-04-22 22:30,64,14.9,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 00:30,2025-04-22 23:30,64,14.9,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 02:00,2025-04-23 01:00,64,14.9,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 03:30,2025-04-23 02:30,64,14.9,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 04:30,2025-04-23 03:30,64,14.9,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 05:30,2025-04-23 04:30,64,14.9,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 06:30,2025-04-23 05:30,64,14.9,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 07:30,2025-04-23 06:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 08:30,2025-04-23 07:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 09:30,2025-04-23 08:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 10:30,2025-04-23 09:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 11:30,2025-04-23 10:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 12:30,2025-04-23 11:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 13:30,2025-04-23 12:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 14:30,2025-04-23 13:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 15:30,2025-04-23 14:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 16:30,2025-04-23 15:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 17:30,2025-04-23 16:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 18:30,2025-04-23 17:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 19:30,2025-04-23 18:30,63,14.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 20:30,2025-04-23 19:30,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 21:30,2025-04-23 20:30,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 22:30,2025-04-23 21:30,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-23 23:30,2025-04-23 22:30,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 00:30,2025-04-23 23:30,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 02:00,2025-04-24 01:00,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 03:30,2025-04-24 02:30,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 04:30,2025-04-24 03:30,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 05:30,2025-04-24 04:30,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 06:30,2025-04-24 05:30,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 07:30,2025-04-24 06:30,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 08:30,2025-04-24 07:30,61,13.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 09:30,2025-04-24 08:30,57,11.5,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 10:30,2025-04-24 09:30,61,13.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 11:30,2025-04-24 10:30,57,11.5,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 12:30,2025-04-24 11:30,62,13.8,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 13:30,2025-04-24 12:30,61,13.3,450.0,760.0,950.0,običajni pretok,
8450,2025-04-24 14:30,2025-04-24 13:30,61,13.3,450.0,760.0,950.0,običajni pretok,
