sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8454,2025-04-19 22:30,2025-04-19 21:30,151,,25.0,41.0,65.0,,9.9
8454,2025-04-22 07:30,2025-04-22 06:30,146,,25.0,41.0,65.0,,10.0
8454,2025-04-22 10:30,2025-04-22 09:30,146,,25.0,41.0,65.0,,10.8
8454,2025-04-22 11:00,2025-04-22 10:00,146,,25.0,41.0,65.0,,11.1
8454,2025-04-22 11:30,2025-04-22 10:30,146,,25.0,41.0,65.0,,11.5
8454,2025-04-22 12:30,2025-04-22 11:30,146,,25.0,41.0,65.0,,11.9
8454,2025-04-22 13:30,2025-04-22 12:30,146,,25.0,41.0,65.0,,12.6
8454,2025-04-22 14:30,2025-04-22 13:30,146,,25.0,41.0,65.0,,12.7
8454,2025-04-22 15:30,2025-04-22 14:30,146,,25.0,41.0,65.0,,12.8
8454,2025-04-22 16:30,2025-04-22 15:30,146,,25.0,41.0,65.0,,13.0
8454,2025-04-22 17:30,2025-04-22 16:30,146,,25.0,41.0,65.0,,13.0
8454,2025-04-22 18:30,2025-04-22 17:30,146,,25.0,41.0,65.0,,12.7
8454,2025-04-22 19:30,2025-04-22 18:30,146,,25.0,41.0,65.0,,12.3
8454,2025-04-22 20:30,2025-04-22 19:30,145,,25.0,41.0,65.0,,11.9
8454,2025-04-22 21:30,2025-04-22 20:30,146,,25.0,41.0,65.0,,11.6
8454,2025-04-22 22:30,2025-04-22 21:30,146,,25.0,41.0,65.0,,11.3
8454,2025-04-22 23:30,2025-04-22 22:30,146,,25.0,41.0,65.0,,11.1
8454,2025-04-23 00:30,2025-04-22 23:30,146,,25.0,41.0,65.0,,10.9
8454,2025-04-23 02:00,2025-04-23 01:00,146,,25.0,41.0,65.0,,10.6
8454,2025-04-23 03:30,2025-04-23 02:30,146,,25.0,41.0,65.0,,10.4
8454,2025-04-23 04:30,2025-04-23 03:30,146,,25.0,41.0,65.0,,10.2
