sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8500,2025-04-19 22:30,2025-04-19 21:30,91,12.8,160.0,190.0,220.0,običajni pretok,10.3
8500,2025-04-22 07:30,2025-04-22 06:30,79,8.11,160.0,190.0,220.0,običajni pretok,10.3
8500,2025-04-22 10:30,2025-04-22 09:30,78,7.8,160.0,190.0,220.0,običajni pretok,10.6
8500,2025-04-22 11:00,2025-04-22 10:00,78,7.8,160.0,190.0,220.0,običajni pretok,10.8
8500,2025-04-22 11:30,2025-04-22 10:30,78,7.8,160.0,190.0,220.0,običajni pretok,11.2
8500,2025-04-22 12:30,2025-04-22 11:30,78,7.8,160.0,190.0,220.0,običajni pretok,11.6
8500,2025-04-22 13:30,2025-04-22 12:30,78,7.8,160.0,190.0,220.0,običajni pretok,12.3
8500,2025-04-22 14:30,2025-04-22 13:30,78,7.8,160.0,190.0,220.0,običajni pretok,12.3
8500,2025-04-22 15:30,2025-04-22 14:30,77,7.5,160.0,190.0,220.0,običajni pretok,12.4
8500,2025-04-22 16:30,2025-04-22 15:30,77,7.5,160.0,190.0,220.0,običajni pretok,12.4
8500,2025-04-22 17:30,2025-04-22 16:30,78,7.8,160.0,190.0,220.0,običajni pretok,12.4
8500,2025-04-22 18:30,2025-04-22 17:30,77,7.5,160.0,190.0,220.0,običajni pretok,12.2
8500,2025-04-22 19:30,2025-04-22 18:30,77,7.5,160.0,190.0,220.0,običajni pretok,12.0
8500,2025-04-22 20:30,2025-04-22 19:30,77,7.5,160.0,190.0,220.0,običajni pretok,11.7
