sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8545,2025-04-19 22:30,2025-04-19 21:30,98,0.096,9.4,10.8,12.3,običajni pretok,15.1
8545,2025-04-22 07:30,2025-04-22 06:30,97,0.078,9.4,10.8,12.3,mali pretok,13.3
8545,2025-04-22 10:30,2025-04-22 09:30,96,0.062,9.4,10.8,12.3,mali pretok,13.1
8545,2025-04-22 11:00,2025-04-22 10:00,96,0.062,9.4,10.8,12.3,mali pretok,13.1
8545,2025-04-22 11:30,2025-04-22 10:30,96,0.062,9.4,10.8,12.3,mali pretok,13.1
8545,2025-04-22 12:30,2025-04-22 11:30,96,0.062,9.4,10.8,12.3,mali pretok,13.2
8545,2025-04-22 13:30,2025-04-22 12:30,96,0.062,9.4,10.8,12.3,mali pretok,13.5
8545,2025-04-22 14:30,2025-04-22 13:30,96,0.062,9.4,10.8,12.3,mali pretok,14.0
8545,2025-04-22 15:30,2025-04-22 14:30,96,0.062,9.4,10.8,12.3,mali pretok,14.6
8545,2025-04-22 16:30,2025-04-22 15:30,96,0.062,9.4,10.8,12.3,mali pretok,15.3
8545,2025-04-22 17:30,2025-04-22 16:30,96,0.062,9.4,10.8,12.3,mali pretok,15.9
8545,2025-04-22 18:30,2025-04-22 17:30,96,0.062,9.4,10.8,12.3,mali pretok,16.4
8545,2025-04-22 19:30,2025-04-22 18:30,96,0.062,9.4,10.8,12.3,mali pretok,16.7
8545,2025-04-22 20:30,2025-04-22 19:30,96,0.062,9.4,10.8,12.3,mali pretok,16.8
8545,2025-04-22 21:30,2025-04-22 20:30,96,0.062,9.4,10.8,12.3,mali pretok,16.7
8545,2025-04-22 22:30,2025-04-22 21:30,96,0.062,9.4,10.8,12.3,mali pretok,16.5
8545,2025-04-22 23:30,2025-04-22 22:30,96,0.062,9.4,10.8,12.3,mali pretok,16.2
8545,2025-04-23 00:30,2025-04-22 23:30,96,0.062,9.4,10.8,12.3,mali pretok,15.8
8545,2025-04-23 02:00,2025-04-23 01:00,96,0.062,9.4,10.8,12.3,mali pretok,15.3
8545,2025-04-23 03:30,2025-04-23 02:30,96,0.062,9.4,10.8,12.3,mali pretok,14.8
8545,2025-04-23 04:30,2025-04-23 03:30,96,0.062,9.4,10.8,12.3,mali pretok,14.6
8545,2025-04-23 05:30,2025-04-23 04:30,96,0.062,9.4,10.8,12.3,mali pretok,14.2
8545,2025-04-23 06:30,2025-04-23 05:30,96,0.062,9.4,10.8,12.3,mali pretok,14.0
8545,2025-04-23 07:30,2025-04-23 06:30,96,0.062,9.4,10.8,12.3,mali pretok,13.8
8545,2025-04-23 08:30,2025-04-23 07:30,96,0.062,9.4,10.8,12.3,mali pretok,13.6
