sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8561,2025-04-19 22:30,2025-04-19 21:30,55,7.75,52.0,70.0,80.0,običajni pretok,9.1
8561,2025-04-22 07:30,2025-04-22 06:30,37,3.56,52.0,70.0,80.0,običajni pretok,9.2
8561,2025-04-22 10:30,2025-04-22 09:30,37,3.56,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-22 11:00,2025-04-22 10:00,37,3.56,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-22 11:30,2025-04-22 10:30,37,3.56,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-22 12:30,2025-04-22 11:30,36,3.39,52.0,70.0,80.0,običajni pretok,9.4
8561,2025-04-22 13:30,2025-04-22 12:30,36,3.39,52.0,70.0,80.0,običajni pretok,9.5
8561,2025-04-22 14:30,2025-04-22 13:30,36,3.39,52.0,70.0,80.0,običajni pretok,9.5
8561,2025-04-22 15:30,2025-04-22 14:30,36,3.39,52.0,70.0,80.0,običajni pretok,9.4
8561,2025-04-22 16:30,2025-04-22 15:30,36,3.39,52.0,70.0,80.0,običajni pretok,9.5
8561,2025-04-22 17:30,2025-04-22 16:30,36,3.39,52.0,70.0,80.0,običajni pretok,9.4
8561,2025-04-22 18:30,2025-04-22 17:30,35,3.23,52.0,70.0,80.0,običajni pretok,9.4
8561,2025-04-22 19:30,2025-04-22 18:30,35,3.23,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-22 20:30,2025-04-22 19:30,35,3.23,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-22 21:30,2025-04-22 20:30,35,3.23,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-22 22:30,2025-04-22 21:30,35,3.23,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-22 23:30,2025-04-22 22:30,34,3.07,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 00:30,2025-04-22 23:30,34,3.07,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 02:00,2025-04-23 01:00,34,3.07,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 03:30,2025-04-23 02:30,34,3.07,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 04:30,2025-04-23 03:30,34,3.07,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 05:30,2025-04-23 04:30,34,3.07,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 06:30,2025-04-23 05:30,34,3.07,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 07:30,2025-04-23 06:30,34,3.07,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 08:30,2025-04-23 07:30,34,3.07,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 09:30,2025-04-23 08:30,33,2.92,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 10:30,2025-04-23 09:30,33,2.92,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 11:30,2025-04-23 10:30,33,2.92,52.0,70.0,80.0,običajni pretok,9.3
8561,2025-04-23 12:30,2025-04-23 11:30,33,2.92,52.0,70.0,80.0,običajni pretok,9.5
8561,2025-04-23 13:30,2025-04-23 12:30,33,2.92,52.0,70.0,80.0,običajni pretok,9.6
8561,2025-04-23 14:30,2025-04-23 13:30,33,2.92,52.0,70.0,80.0,običajni pretok,9.6
8561,2025-04-23 15:30,2025-04-23 14:30,33,2.92,52.0,70.0,80.0,običajni pretok,9.6
8561,2025-04-23 16:30,2025-04-23 15:30,33,2.92,52.0,70.0,80.0,običajni pretok,9.4
8561,2025-04-23 17:30,2025-04-23 16:30,33,2.92,52.0,70.0,80.0,običajni pretok,9.4
8561,2025-04-23 18:30,2025-04-23 17:30,33,2.92,52.0,70.0,80.0,običajni pretok,9.4
8561,2025-04-23 19:30,2025-04-23 18:30,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-23 20:30,2025-04-23 19:30,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-23 21:30,2025-04-23 20:30,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-23 22:30,2025-04-23 21:30,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-23 23:30,2025-04-23 22:30,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-24 00:30,2025-04-23 23:30,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-24 02:00,2025-04-24 01:00,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-24 03:30,2025-04-24 02:30,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-24 04:30,2025-04-24 03:30,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-24 05:30,2025-04-24 04:30,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-24 06:30,2025-04-24 05:30,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-24 07:30,2025-04-24 06:30,32,2.78,52.0,70.0,80.0,mali pretok,9.3
8561,2025-04-24 08:30,2025-04-24 07:30,32,2.78,52.0,70.0,80.0,mali pretok,9.4
8561,2025-04-24 09:30,2025-04-24 08:30,32,2.78,52.0,70.0,80.0,mali pretok,9.4
8561,2025-04-24 10:30,2025-04-24 09:30,32,2.78,52.0,70.0,80.0,mali pretok,9.4
8561,2025-04-24 11:30,2025-04-24 10:30,31,2.65,52.0,70.0,80.0,mali pretok,9.5
8561,2025-04-24 12:30,2025-04-24 11:30,31,2.65,52.0,70.0,80.0,mali pretok,9.5
8561,2025-04-24 13:30,2025-04-24 12:30,31,2.65,52.0,70.0,80.0,mali pretok,9.6
8561,2025-04-24 14:30,2025-04-24 13:30,31,2.65,52.0,70.0,80.0,mali pretok,9.7
8561,2025-04-24 15:30,2025-04-24 14:30,31,2.65,52.0,70.0,80.0,mali pretok,9.4
