sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8565,2025-04-19 22:30,2025-04-19 21:30,92.0,15.7,150.0,210.0,250.0,običajni pretok,9.3
8565,2025-04-22 07:30,2025-04-22 06:30,76.0,8.99,150.0,210.0,250.0,običajni pretok,9.4
8565,2025-04-22 10:30,2025-04-22 09:30,76.0,8.99,150.0,210.0,250.0,običajni pretok,9.7
8565,2025-04-22 11:00,2025-04-22 10:00,76.0,8.99,150.0,210.0,250.0,običajni pretok,9.8
8565,2025-04-22 11:30,2025-04-22 10:30,76.0,8.99,150.0,210.0,250.0,običajni pretok,9.8
8565,2025-04-22 12:30,2025-04-22 11:30,76.0,8.99,150.0,210.0,250.0,običajni pretok,10.1
8565,2025-04-22 13:30,2025-04-22 12:30,75.0,8.63,150.0,210.0,250.0,običajni pretok,10.3
8565,2025-04-22 14:30,2025-04-22 13:30,75.0,8.63,150.0,210.0,250.0,običajni pretok,10.5
8565,2025-04-22 15:30,2025-04-22 14:30,75.0,8.63,150.0,210.0,250.0,običajni pretok,10.6
8565,2025-04-22 16:30,2025-04-22 15:30,75.0,8.63,150.0,210.0,250.0,običajni pretok,10.7
8565,2025-04-22 17:30,2025-04-22 16:30,75.0,8.63,150.0,210.0,250.0,običajni pretok,10.9
8565,2025-04-22 18:30,2025-04-22 17:30,,,150.0,210.0,250.0,,
8565,2025-04-22 19:30,2025-04-22 18:30,74,8.29,150.0,210.0,250.0,običajni pretok,10.7
