sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8610,2025-04-19 22:30,2025-04-19 21:30,32,0.704,20.0,23.0,40.0,običajni pretok,11.6
8610,2025-04-22 07:30,2025-04-22 06:30,30,0.5,20.0,23.0,40.0,običajni pretok,11.8
8610,2025-04-22 10:30,2025-04-22 09:30,30,0.5,20.0,23.0,40.0,običajni pretok,12.3
8610,2025-04-22 11:00,2025-04-22 10:00,30,0.5,20.0,23.0,40.0,običajni pretok,12.4
8610,2025-04-22 11:30,2025-04-22 10:30,30,0.5,20.0,23.0,40.0,običajni pretok,12.5
8610,2025-04-22 12:30,2025-04-22 11:30,30,0.5,20.0,23.0,40.0,običajni pretok,13.1
8610,2025-04-22 13:30,2025-04-22 12:30,30,0.5,20.0,23.0,40.0,običajni pretok,13.6
8610,2025-04-22 14:30,2025-04-22 13:30,30,0.5,20.0,23.0,40.0,običajni pretok,13.9
8610,2025-04-22 15:30,2025-04-22 14:30,29,0.416,20.0,23.0,40.0,običajni pretok,14.1
8610,2025-04-22 16:30,2025-04-22 15:30,29,0.416,20.0,23.0,40.0,običajni pretok,14.6
8610,2025-04-22 17:30,2025-04-22 16:30,28,0.342,20.0,23.0,40.0,običajni pretok,14.7
8610,2025-04-22 18:30,2025-04-22 17:30,28,0.342,20.0,23.0,40.0,običajni pretok,14.6
8610,2025-04-22 19:30,2025-04-22 18:30,29,0.416,20.0,23.0,40.0,običajni pretok,14.3
8610,2025-04-22 20:30,2025-04-22 19:30,28,0.342,20.0,23.0,40.0,običajni pretok,14.1
8610,2025-04-22 21:30,2025-04-22 20:30,28,0.342,20.0,23.0,40.0,običajni pretok,13.8
8610,2025-04-22 22:30,2025-04-22 21:30,28,0.342,20.0,23.0,40.0,običajni pretok,13.5
8610,2025-04-22 23:30,2025-04-22 22:30,28,0.342,20.0,23.0,40.0,običajni pretok,13.3
8610,2025-04-23 00:30,2025-04-22 23:30,28,0.342,20.0,23.0,40.0,običajni pretok,13.2
