sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8630,2025-04-19 22:30,2025-04-19 21:30,72,4.66,40.0,50.0,57.0,običajni pretok,8.6
8630,2025-04-22 07:30,2025-04-22 06:30,60,2.73,40.0,50.0,57.0,običajni pretok,8.6
8630,2025-04-22 10:30,2025-04-22 09:30,60,2.73,40.0,50.0,57.0,običajni pretok,8.8
8630,2025-04-22 11:00,2025-04-22 10:00,60,2.73,40.0,50.0,57.0,običajni pretok,8.8
8630,2025-04-22 11:30,2025-04-22 10:30,60,2.73,40.0,50.0,57.0,običajni pretok,8.8
8630,2025-04-22 12:30,2025-04-22 11:30,60,2.73,40.0,50.0,57.0,običajni pretok,8.9
8630,2025-04-22 13:30,2025-04-22 12:30,60,2.73,40.0,50.0,57.0,običajni pretok,9.0
8630,2025-04-22 14:30,2025-04-22 13:30,60,2.73,40.0,50.0,57.0,običajni pretok,9.1
8630,2025-04-22 15:30,2025-04-22 14:30,59,2.59,40.0,50.0,57.0,običajni pretok,9.0
8630,2025-04-22 16:30,2025-04-22 15:30,59,2.59,40.0,50.0,57.0,običajni pretok,9.0
8630,2025-04-22 17:30,2025-04-22 16:30,59,2.59,40.0,50.0,57.0,običajni pretok,9
