sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8640,2025-04-19 22:30,2025-04-19 21:30,77,,45.0,70.0,90.0,,12.8
8640,2025-04-22 07:30,2025-04-22 06:30,72,,45.0,70.0,90.0,,12.2
8640,2025-04-22 10:30,2025-04-22 09:30,73,,45.0,70.0,90.0,,12.8
8640,2025-04-22 11:00,2025-04-22 10:00,73,,45.0,70.0,90.0,,13.0
8640,2025-04-22 11:30,2025-04-22 10:30,72,,45.0,70.0,90.0,,13.1
8640,2025-04-22 12:30,2025-04-22 11:30,72,,45.0,70.0,90.0,,13.6
8640,2025-04-22 13:30,2025-04-22 12:30,73,,45.0,70.0,90.0,,14.1
8640,2025-04-22 14:30,2025-04-22 13:30,73,,45.0,70.0,90.0,,14.7
8640,2025-04-22 15:30,2025-04-22 14:30,73,,45.0,70.0,90.0,,14.9
8640,2025-04-22 16:30,2025-04-22 15:30,73,,45.0,70.0,90.0,,15.0
8640,2025-04-22 17:30,2025-04-22 16:30,73,,45.0,70.0,90.0,,15.2
8640,2025-04-22 18:30,2025-04-22 17:30,73,,45.0,70.0,90.0,,15.1
8640,2025-04-22 19:30,2025-04-22 18:30,72,,45.0,70.0,90.0,,15.0
8640,2025-04-22 20:30,2025-04-22 19:30,72,,45.0,70.0,90.0,,14.9
8640,2025-04-22 21:30,2025-04-22 20:30,72,,45.0,70.0,90.0,,14.7
8640,2025-04-22 22:30,2025-04-22 21:30,71,,45.0,70.0,90.0,,14.4
8640,2025-04-22 23:30,2025-04-22 22:30,71,,45.0,70.0,90.0,,14.2
8640,2025-04-23 00:30,2025-04-22 23:30,71,,45.0,70.0,90.0,,14.0
8640,2025-04-23 02:00,2025-04-23 01:00,71,,45.0,70.0,90.0,,13.6
8640,2025-04-23 03:30,2025-04-23 02:30,71,,45.0,70.0,90.0,,13.2
8640,2025-04-23 04:30,2025-04-23 03:30,71,,45.0,70.0,90.0,,13.0
8640,2025-04-23 05:30,2025-04-23 04:30,71,,45.0,70.0,90.0,,12.9
8640,2025-04-23 06:30,2025-04-23 05:30,70,,45.0,70.0,90.0,,12.8
8640,2025-04-23 07:30,2025-04-23 06:30,71,,45.0,70.0,90.0,,12.6
8640,2025-04-23 08:30,2025-04-23 07:30,71,,45.0,70.0,90.0,,12.6
8640,2025-04-23 09:30,2025-04-23 08:30,71,,45.0,70.0,90.0,,12.7
8640,2025-04-23 10:30,2025-04-23 09:30,71,,45.0,70.0,90.0,,12.7
8640,2025-04-23 11:30,2025-04-23 10:30,71,,45.0,70.0,90.0,,12.8
8640,2025-04-23 12:30,2025-04-23 11:30,71,,45.0,70.0,90.0,,13.1
8640,2025-04-23 13:30,2025-04-23 12:30,72,,45.0,70.0,90.0,,13.4
8640,2025-04-23 14:30,2025-04-23 13:30,71,,45.0,70.0,90.0,,13.8
8640,2025-04-23 15:30,2025-04-23 14:30,72,,45.0,70.0,90.0,,14.2
8640,2025-04-23 16:30,2025-04-23 15:30,71,,45.0,70.0,90.0,,14.8
8640,2025-04-23 17:30,2025-04-23 16:30,71,,45.0,70.0,90.0,,15.0
