sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8690,2025-04-19 22:30,2025-04-19 21:30,,,185.0,225.0,290.0,,
8690,2025-04-22 07:30,2025-04-22 06:30,,,185.0,225.0,290.0,,
8690,2025-04-22 10:30,2025-04-22 09:30,,,185.0,225.0,290.0,,
8690,2025-04-22 11:00,2025-04-22 10:00,,,185.0,225.0,290.0,,
8690,2025-04-22 11:30,2025-04-22 10:30,,,185.0,225.0,290.0,,
8690,2025-04-22 12:30,2025-04-22 11:30,,,185.0,225.0,290.0,,
8690,2025-04-22 13:30,2025-04-22 12:30,,,185.0,225.0,290.0,,
8690,2025-04-22 14:30,2025-04-22 13:30,,,185.0,225.0,290.0,,
8690,2025-04-22 15:30,2025-04-22 14:30,,,185.0,225.0,290.0,,
8690,2025-04-22 16:30,2025-04-22 15:30,,,185.0,225.0,290.0,,
8690,2025-04-22 17:30,2025-04-22 16:30,,,185.0,225.0,290.0,,
8690,2025-04-22 18:30,2025-04-22 17:30,,,185.0,225.0,290.0,,
