sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8710,2025-04-19 22:30,2025-04-19 21:30,186,20.2,100.0,152.0,230.0,običajni pretok,10.4
8710,2025-04-22 07:30,2025-04-22 06:30,145,5.55,100.0,152.0,230.0,običajni pretok,10.7
8710,2025-04-22 10:30,2025-04-22 09:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-22 11:00,2025-04-22 10:00,144,5.32,100.0,152.0,230.0,običajni pretok,11.4
8710,2025-04-22 11:30,2025-04-22 10:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.6
8710,2025-04-22 12:30,2025-04-22 11:30,144,5.32,100.0,152.0,230.0,običajni pretok,12.3
8710,2025-04-22 13:30,2025-04-22 12:30,144,5.32,100.0,152.0,230.0,običajni pretok,13.1
8710,2025-04-22 14:30,2025-04-22 13:30,143,5.11,100.0,152.0,230.0,običajni pretok,13.5
8710,2025-04-22 15:30,2025-04-22 14:30,143,5.11,100.0,152.0,230.0,običajni pretok,13.4
8710,2025-04-22 16:30,2025-04-22 15:30,143,5.11,100.0,152.0,230.0,običajni pretok,13.4
8710,2025-04-22 17:30,2025-04-22 16:30,143,5.11,100.0,152.0,230.0,običajni pretok,13.2
8710,2025-04-22 18:30,2025-04-22 17:30,143,5.11,100.0,152.0,230.0,običajni pretok,12.7
8710,2025-04-22 19:30,2025-04-22 18:30,143,5.11,100.0,152.0,230.0,običajni pretok,12.3
8710,2025-04-22 20:30,2025-04-22 19:30,143,5.11,100.0,152.0,230.0,običajni pretok,12.0
8710,2025-04-22 21:30,2025-04-22 20:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.8
8710,2025-04-22 22:30,2025-04-22 21:30,142,4.89,100.0,152.0,230.0,običajni pretok,11.7
8710,2025-04-22 23:30,2025-04-22 22:30,142,4.89,100.0,152.0,230.0,običajni pretok,11.6
8710,2025-04-23 00:30,2025-04-22 23:30,142,4.89,100.0,152.0,230.0,običajni pretok,11.5
8710,2025-04-23 02:00,2025-04-23 01:00,142,4.89,100.0,152.0,230.0,običajni pretok,11.3
8710,2025-04-23 03:30,2025-04-23 02:30,142,4.89,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-23 04:30,2025-04-23 03:30,142,4.89,100.0,152.0,230.0,običajni pretok,11.1
8710,2025-04-23 05:30,2025-04-23 04:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.1
8710,2025-04-23 06:30,2025-04-23 05:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.1
8710,2025-04-23 07:30,2025-04-23 06:30,141,4.68,100.0,152.0,230.0,običajni pretok,11.1
8710,2025-04-23 08:30,2025-04-23 07:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-23 09:30,2025-04-23 08:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-23 10:30,2025-04-23 09:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-23 11:30,2025-04-23 10:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-23 12:30,2025-04-23 11:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.4
8710,2025-04-23 13:30,2025-04-23 12:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.9
8710,2025-04-23 14:30,2025-04-23 13:30,144,5.32,100.0,152.0,230.0,običajni pretok,12.4
8710,2025-04-23 15:30,2025-04-23 14:30,144,5.32,100.0,152.0,230.0,običajni pretok,13.1
8710,2025-04-23 16:30,2025-04-23 15:30,144,5.32,100.0,152.0,230.0,običajni pretok,13.0
8710,2025-04-23 17:30,2025-04-23 16:30,144,5.32,100.0,152.0,230.0,običajni pretok,13.4
8710,2025-04-23 18:30,2025-04-23 17:30,144,5.32,100.0,152.0,230.0,običajni pretok,13.2
8710,2025-04-23 19:30,2025-04-23 18:30,144,5.32,100.0,152.0,230.0,običajni pretok,12.7
8710,2025-04-23 20:30,2025-04-23 19:30,145,5.55,100.0,152.0,230.0,običajni pretok,12.4
8710,2025-04-23 21:30,2025-04-23 20:30,146,5.77,100.0,152.0,230.0,običajni pretok,12.2
8710,2025-04-23 22:30,2025-04-23 21:30,147,6.0,100.0,152.0,230.0,običajni pretok,12.1
8710,2025-04-23 23:30,2025-04-23 22:30,146,5.77,100.0,152.0,230.0,običajni pretok,11.9
8710,2025-04-24 00:30,2025-04-23 23:30,146,5.77,100.0,152.0,230.0,običajni pretok,11.8
8710,2025-04-24 02:00,2025-04-24 01:00,145,5.55,100.0,152.0,230.0,običajni pretok,11.6
8710,2025-04-24 03:30,2025-04-24 02:30,145,5.55,100.0,152.0,230.0,običajni pretok,11.3
8710,2025-04-24 04:30,2025-04-24 03:30,145,5.55,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-24 05:30,2025-04-24 04:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.1
8710,2025-04-24 06:30,2025-04-24 05:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.0
8710,2025-04-24 07:30,2025-04-24 06:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.0
8710,2025-04-24 08:30,2025-04-24 07:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.0
8710,2025-04-24 09:30,2025-04-24 08:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.1
8710,2025-04-24 10:30,2025-04-24 09:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.4
8710,2025-04-24 11:30,2025-04-24 10:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.6
8710,2025-04-24 12:30,2025-04-24 11:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.8
8710,2025-04-24 13:30,2025-04-24 12:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.8
8710,2025-04-24 14:30,2025-04-24 13:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.9
8710,2025-04-24 15:30,2025-04-24 14:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.9
8710,2025-04-24 16:30,2025-04-24 15:30,144,5.32,100.0,152.0,230.0,običajni pretok,12.0
8710,2025-04-24 17:30,2025-04-24 16:30,145,5.55,100.0,152.0,230.0,običajni pretok,12.2
8710,2025-04-24 18:30,2025-04-24 17:30,144,5.32,100.0,152.0,230.0,običajni pretok,12.1
8710,2025-04-24 19:30,2025-04-24 18:30,144,5.32,100.0,152.0,230.0,običajni pretok,12.2
8710,2025-04-24 20:30,2025-04-24 19:30,144,5.32,100.0,152.0,230.0,običajni pretok,12.0
8710,2025-04-24 21:30,2025-04-24 20:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.9
8710,2025-04-24 22:30,2025-04-24 21:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.7
8710,2025-04-24 23:30,2025-04-24 22:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.5
8710,2025-04-25 00:30,2025-04-24 23:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.4
8710,2025-04-25 02:00,2025-04-25 01:00,143,5.11,100.0,152.0,230.0,običajni pretok,11.3
8710,2025-04-25 03:30,2025-04-25 02:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-25 04:30,2025-04-25 03:30,142,4.89,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-25 05:30,2025-04-25 04:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.1
8710,2025-04-25 06:30,2025-04-25 05:30,142,4.89,100.0,152.0,230.0,običajni pretok,11.1
8710,2025-04-25 07:30,2025-04-25 06:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.0
8710,2025-04-25 08:30,2025-04-25 07:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.0
8710,2025-04-25 09:30,2025-04-25 08:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.0
8710,2025-04-25 10:30,2025-04-25 09:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.1
8710,2025-04-25 11:30,2025-04-25 10:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-25 12:30,2025-04-25 11:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.4
8710,2025-04-25 13:30,2025-04-25 12:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.5
8710,2025-04-25 14:30,2025-04-25 13:30,144,5.32,100.0,152.0,230.0,običajni pretok,11.7
8710,2025-04-25 15:30,2025-04-25 14:30,143,5.11,100.0,152.0,230.0,običajni pretok,12.1
8710,2025-04-25 16:30,2025-04-25 15:30,143,5.11,100.0,152.0,230.0,običajni pretok,12.1
8710,2025-04-25 17:30,2025-04-25 16:30,143,5.11,100.0,152.0,230.0,običajni pretok,12.1
8710,2025-04-25 18:30,2025-04-25 17:30,143,5.11,100.0,152.0,230.0,običajni pretok,12.0
8710,2025-04-25 19:30,2025-04-25 18:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.8
8710,2025-04-25 20:30,2025-04-25 19:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.6
8710,2025-04-25 21:30,2025-04-25 20:30,143,5.11,100.0,152.0,230.0,običajni pretok,11.5
8710,2025-04-25 22:30,2025-04-25 21:30,142,4.89,100.0,152.0,230.0,običajni pretok,11.4
8710,2025-04-25 23:30,2025-04-25 22:30,142,4.89,100.0,152.0,230.0,običajni pretok,11.3
8710,2025-04-26 00:30,2025-04-25 23:30,142,4.89,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-26 02:00,2025-04-26 01:00,142,4.89,100.0,152.0,230.0,običajni pretok,11.1
8710,2025-04-26 03:30,2025-04-26 02:30,142,4.89,100.0,152.0,230.0,običajni pretok,11.0
8710,2025-04-26 04:30,2025-04-26 03:30,142,4.89,100.0,152.0,230.0,običajni pretok,10.9
8710,2025-04-26 05:30,2025-04-26 04:30,142,4.89,100.0,152.0,230.0,običajni pretok,10.9
8710,2025-04-26 06:30,2025-04-26 05:30,142,4.89,100.0,152.0,230.0,običajni pretok,10.8
8710,2025-04-26 07:30,2025-04-26 06:30,141,4.68,100.0,152.0,230.0,običajni pretok,10.8
8710,2025-04-26 08:30,2025-04-26 07:30,141,4.68,100.0,152.0,230.0,običajni pretok,10.9
8710,2025-04-26 09:30,2025-04-26 08:30,141,4.68,100.0,152.0,230.0,običajni pretok,11.1
8710,2025-04-26 10:30,2025-04-26 09:30,141,4.68,100.0,152.0,230.0,običajni pretok,11.4
8710,2025-04-26 11:30,2025-04-26 10:30,141,4.68,100.0,152.0,230.0,običajni pretok,12.2
8710,2025-04-26 12:30,2025-04-26 11:30,141,4.68,100.0,152.0,230.0,običajni pretok,13.0
8710,2025-04-26 13:30,2025-04-26 12:30,141,4.68,100.0,152.0,230.0,običajni pretok,13.4
8710,2025-04-26 14:30,2025-04-26 13:30,140,4.48,100.0,152.0,230.0,običajni pretok,13.3
8710,2025-04-26 15:30,2025-04-26 14:30,140,4.48,100.0,152.0,230.0,običajni pretok,13.0
8710,2025-04-26 16:30,2025-04-26 15:30,140,4.48,100.0,152.0,230.0,običajni pretok,12.8
8710,2025-04-26 17:30,2025-04-26 16:30,140,4.48,100.0,152.0,230.0,običajni pretok,12.5
8710,2025-04-26 18:30,2025-04-26 17:30,140,4.48,100.0,152.0,230.0,običajni pretok,12.4
8710,2025-04-26 19:30,2025-04-26 18:30,139,4.27,100.0,152.0,230.0,običajni pretok,12.4
8710,2025-04-26 20:30,2025-04-26 19:30,139,4.27,100.0,152.0,230.0,običajni pretok,12.2
8710,2025-04-26 21:30,2025-04-26 20:30,139,4.27,100.0,152.0,230.0,običajni pretok,12.0
8710,2025-04-26 22:30,2025-04-26 21:30,139,4.27,100.0,152.0,230.0,običajni pretok,11.8
8710,2025-04-26 23:30,2025-04-26 22:30,139,4.27,100.0,152.0,230.0,običajni pretok,11.7
8710,2025-04-27 00:30,2025-04-26 23:30,139,4.27,100.0,152.0,230.0,običajni pretok,11.6
8710,2025-04-27 02:00,2025-04-27 01:00,139,4.27,100.0,152.0,230.0,običajni pretok,11.5
8710,2025-04-27 04:00,2025-04-27 03:00,139,4.27,100.0,152.0,230.0,običajni pretok,11.4
8710,2025-04-27 04:30,2025-04-27 03:30,138,4.08,100.0,152.0,230.0,običajni pretok,11.4
8710,2025-04-27 05:30,2025-04-27 04:30,138,4.08,100.0,152.0,230.0,običajni pretok,11.3
8710,2025-04-27 06:30,2025-04-27 05:30,138,4.08,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-27 07:30,2025-04-27 06:30,138,4.08,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-27 08:30,2025-04-27 07:30,138,4.08,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-27 09:30,2025-04-27 08:30,138,4.08,100.0,152.0,230.0,običajni pretok,11.5
8710,2025-04-27 10:30,2025-04-27 09:30,138,4.08,100.0,152.0,230.0,običajni pretok,12.3
8710,2025-04-27 11:30,2025-04-27 10:30,138,4.08,100.0,152.0,230.0,običajni pretok,13.3
8710,2025-04-27 12:30,2025-04-27 11:30,137,3.89,100.0,152.0,230.0,običajni pretok,13.0
8710,2025-04-27 13:30,2025-04-27 12:30,137,3.89,100.0,152.0,230.0,običajni pretok,13.4
8710,2025-04-27 14:30,2025-04-27 13:30,137,3.89,100.0,152.0,230.0,običajni pretok,13.8
8710,2025-04-27 15:30,2025-04-27 14:30,137,3.89,100.0,152.0,230.0,običajni pretok,14.2
8710,2025-04-27 16:30,2025-04-27 15:30,137,3.89,100.0,152.0,230.0,običajni pretok,14.3
8710,2025-04-27 17:30,2025-04-27 16:30,137,3.89,100.0,152.0,230.0,običajni pretok,14.0
8710,2025-04-27 18:30,2025-04-27 17:30,136,3.7,100.0,152.0,230.0,običajni pretok,13.6
8710,2025-04-27 19:30,2025-04-27 18:30,136,3.7,100.0,152.0,230.0,običajni pretok,13.3
8710,2025-04-27 20:30,2025-04-27 19:30,137,3.89,100.0,152.0,230.0,običajni pretok,12.8
8710,2025-04-27 21:30,2025-04-27 20:30,136,3.7,100.0,152.0,230.0,običajni pretok,12.4
8710,2025-04-27 22:30,2025-04-27 21:30,136,3.7,100.0,152.0,230.0,običajni pretok,12.1
8710,2025-04-27 23:30,2025-04-27 22:30,136,3.7,100.0,152.0,230.0,običajni pretok,11.9
8710,2025-04-28 00:30,2025-04-27 23:30,136,3.7,100.0,152.0,230.0,običajni pretok,11.7
8710,2025-04-28 02:00,2025-04-28 01:00,136,3.7,100.0,152.0,230.0,običajni pretok,11.4
8710,2025-04-28 03:30,2025-04-28 02:30,135,3.52,100.0,152.0,230.0,običajni pretok,11.2
8710,2025-04-28 05:00,2025-04-28 04:00,135,3.52,100.0,152.0,230.0,običajni pretok,11.0
8710,2025-04-28 05:30,2025-04-28 04:30,135,3.52,100.0,152.0,230.0,običajni pretok,10.9
8710,2025-04-28 06:30,2025-04-28 05:30,136,3.7,100.0,152.0,230.0,običajni pretok,10.8
8710,2025-04-28 07:30,2025-04-28 06:30,135,3.52,100.0,152.0,230.0,običajni pretok,10.7
8710,2025-04-28 09:00,2025-04-28 08:00,135,3.52,100.0,152.0,230.0,običajni pretok,11.0
8710,2025-04-28 10:00,2025-04-28 09:00,134,3.35,100.0,152.0,230.0,običajni pretok,11.6
8710,2025-04-28 12:00,2025-04-28 11:00,134,3.35,100.0,152.0,230.0,običajni pretok,13.2
8710,2025-04-28 12:30,2025-04-28 11:30,134,3.35,100.0,152.0,230.0,običajni pretok,13.5
8710,2025-04-28 13:30,2025-04-28 12:30,135,3.52,100.0,152.0,230.0,običajni pretok,14.2
8710,2025-04-28 15:00,2025-04-28 14:00,134,3.35,100.0,152.0,230.0,običajni pretok,15
