sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
9015,2025-04-19 22:30,2025-04-19 21:30,114,2.54,62.0,95.0,130.0,običajni pretok,10.6
9015,2025-04-22 07:30,2025-04-22 06:30,108,1.19,62.0,95.0,130.0,običajni pretok,11.4
9015,2025-04-22 10:30,2025-04-22 09:30,107,1.01,62.0,95.0,130.0,običajni pretok,11.1
9015,2025-04-22 11:00,2025-04-22 10:00,107,1.01,62.0,95.0,130.0,običajni pretok,11.1
9015,2025-04-22 11:30,2025-04-22 10:30,107,1.01,62.0,95.0,130.0,običajni pretok,11.1
9015,2025-04-22 12:30,2025-04-22 11:30,107,1.01,62.0,95.0,130.0,običajni pretok,11.2
9015,2025-04-22 13:30,2025-04-22 12:30,107,1.01,62.0,95.0,130.0,običajni pretok,11.4
9015,2025-04-22 14:30,2025-04-22 13:30,107,1.01,62.0,95.0,130.0,običajni pretok,11.5
9015,2025-04-22 15:30,2025-04-22 14:30,107,1.01,62.0,95.0,130.0,običajni pretok,11.7
9015,2025-04-22 16:30,2025-04-22 15:30,108,1.19,62.0,95.0,130.0,običajni pretok,11.9
9015,2025-04-22 17:30,2025-04-22 16:30,107,1.01,62.0,95.0,130.0,običajni pretok,12.2
9015,2025-04-22 18:30,2025-04-22 17:30,108,1.19,62.0,95.0,130.0,običajni pretok,12.3
9015,2025-04-22 19:30,2025-04-22 18:30,108,1.19,62.0,95.0,130.0,običajni pretok,12.5
9015,2025-04-22 20:30,2025-04-22 19:30,108,1.19,62.0,95.0,130.0,običajni pretok,12.6
9015,2025-04-22 21:30,2025-04-22 20:30,107,1.01,62.0,95.0,130.0,običajni pretok,12.7
9015,2025-04-22 22:30,2025-04-22 21:30,107,1.01,62.0,95.0,130.0,običajni pretok,12.7
9015,2025-04-22 23:30,2025-04-22 22:30,107,1.01,62.0,95.0,130.0,običajni pretok,12.7
9015,2025-04-23 00:30,2025-04-22 23:30,107,1.01,62.0,95.0,130.0,običajni pretok,12.7
9015,2025-04-23 02:00,2025-04-23 01:00,107,1.01,62.0,95.0,130.0,običajni pretok,12.6
9015,2025-04-23 03:30,2025-04-23 02:30,107,1.01,62.0,95.0,130.0,običajni pretok,12.6
9015,2025-04-23 04:30,2025-04-23 03:30,107,1.01,62.0,95.0,130.0,običajni pretok,12.5
9015,2025-04-23 05:30,2025-04-23 04:30,107,1.01,62.0,95.0,130.0,običajni pretok,12.4
9015,2025-04-23 06:30,2025-04-23 05:30,107,1.01,62.0,95.0,130.0,običajni pretok,12.3
9015,2025-04-23 07:30,2025-04-23 06:30,106,0.848,62.0,95.0,130.0,običajni pretok,12.2
9015,2025-04-23 08:30,2025-04-23 07:30,106,0.848,62.0,95.0,130.0,običajni pretok,12.1
9015,2025-04-23 09:30,2025-04-23 08:30,106,0.848,62.0,95.0,130.0,običajni pretok,12
