sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
9030,2025-04-19 22:30,2025-04-19 21:30,184,9.74,92.0,150.0,200.0,običajni pretok,10.6
9030,2025-04-22 07:30,2025-04-22 06:30,164,6.29,92.0,150.0,200.0,običajni pretok,10.6
9030,2025-04-22 10:30,2025-04-22 09:30,163,6.12,92.0,150.0,200.0,običajni pretok,10.6
9030,2025-04-22 11:00,2025-04-22 10:00,163,6.12,92.0,150.0,200.0,običajni pretok,10.6
9030,2025-04-22 11:30,2025-04-22 10:30,163,6.12,92.0,150.0,200.0,običajni pretok,10.7
9030,2025-04-22 12:30,2025-04-22 11:30,163,6.12,92.0,150.0,200.0,običajni pretok,10.8
9030,2025-04-22 13:30,2025-04-22 12:30,162,5.96,92.0,150.0,200.0,običajni pretok,10.9
9030,2025-04-22 14:30,2025-04-22 13:30,162,5.96,92.0,150.0,200.0,običajni pretok,11.0
9030,2025-04-22 15:30,2025-04-22 14:30,162,5.96,92.0,150.0,200.0,običajni pretok,11.0
9030,2025-04-22 16:30,2025-04-22 15:30,161,5.8,92.0,150.0,200.0,običajni pretok,11.0
9030,2025-04-22 17:30,2025-04-22 16:30,162,5.96,92.0,150.0,200.0,običajni pretok,11.1
9030,2025-04-22 18:30,2025-04-22 17:30,162,5.96,92.0,150.0,200.0,običajni pretok,11.1
9030,2025-04-22 19:30,2025-04-22 18:30,162,5.96,92.0,150.0,200.0,običajni pretok,11.1
