sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
9280,2025-04-19 22:30,2025-04-19 21:30,135,0.247,13.0,20.0,45.0,običajni pretok,16.1
9280,2025-04-22 07:30,2025-04-22 06:30,133,0.209,13.0,20.0,45.0,običajni pretok,12.9
9280,2025-04-22 10:30,2025-04-22 09:30,133,0.209,13.0,20.0,45.0,običajni pretok,14.3
9280,2025-04-22 11:00,2025-04-22 10:00,134,0.227,13.0,20.0,45.0,običajni pretok,14.7
9280,2025-04-22 11:30,2025-04-22 10:30,134,0.227,13.0,20.0,45.0,običajni pretok,15.2
9280,2025-04-22 12:30,2025-04-22 11:30,133,0.209,13.0,20.0,45.0,običajni pretok,16.0
9280,2025-04-22 13:30,2025-04-22 12:30,133,0.209,13.0,20.0,45.0,običajni pretok,17.2
9280,2025-04-22 14:30,2025-04-22 13:30,133,0.209,13.0,20.0,45.0,običajni pretok,18.6
9280,2025-04-22 15:30,2025-04-22 14:30,133,0.209,13.0,20.0,45.0,običajni pretok,19.5
9280,2025-04-22 16:30,2025-04-22 15:30,133,0.209,13.0,20.0,45.0,običajni pretok,20.1
9280,2025-04-22 17:30,2025-04-22 16:30,133,0.209,13.0,20.0,45.0,običajni pretok,20.3
9280,2025-04-22 18:30,2025-04-22 17:30,133,0.209,13.0,20.0,45.0,običajni pretok,20.3
9280,2025-04-22 19:30,2025-04-22 18:30,132,0.193,13.0,20.0,45.0,običajni pretok,20.0
9280,2025-04-22 20:30,2025-04-22 19:30,133,0.209,13.0,20.0,45.0,običajni pretok,19.5
9280,2025-04-22 21:30,2025-04-22 20:30,132,0.193,13.0,20.0,45.0,običajni pretok,18.9
9280,2025-04-22 22:30,2025-04-22 21:30,132,0.193,13.0,20.0,45.0,običajni pretok,18.2
9280,2025-04-22 23:30,2025-04-22 22:30,132,0.193,13.0,20.0,45.0,običajni pretok,17.4
9280,2025-04-23 00:30,2025-04-22 23:30,132,0.193,13.0,20.0,45.0,običajni pretok,16.8
9280,2025-04-23 02:00,2025-04-23 01:00,132,0.193,13.0,20.0,45.0,običajni pretok,15.8
9280,2025-04-23 03:30,2025-04-23 02:30,132,0.193,13.0,20.0,45.0,običajni pretok,15.0
9280,2025-04-23 04:30,2025-04-23 03:30,132,0.193,13.0,20.0,45.0,običajni pretok,14.5
9280,2025-04-23 05:30,2025-04-23 04:30,132,0.193,13.0,20.0,45.0,običajni pretok,14.0
9280,2025-04-23 06:30,2025-04-23 05:30,133,0.209,13.0,20.0,45.0,običajni pretok,13.7
9280,2025-04-23 07:30,2025-04-23 06:30,132,0.193,13.0,20.0,45.0,običajni pretok,13.5
9280,2025-04-23 08:30,2025-04-23 07:30,132,0.193,13.0,20.0,45.0,običajni pretok,13.5
9280,2025-04-23 09:30,2025-04-23 08:30,132,0.193,13.0,20.0,45.0,običajni pretok,13.5
9280,2025-04-23 10:30,2025-04-23 09:30,132,0.193,13.0,20.0,45.0,običajni pretok,15.5
9280,2025-04-23 11:30,2025-04-23 10:30,133,0.209,13.0,20.0,45.0,običajni pretok,13.8
9280,2025-04-23 12:30,2025-04-23 11:30,132,0.193,13.0,20.0,45.0,običajni pretok,14.3
9280,2025-04-23 13:30,2025-04-23 12:30,133,0.209,13.0,20.0,45.0,običajni pretok,15.5
9280,2025-04-23 14:30,2025-04-23 13:30,133,0.209,13.0,20.0,45.0,običajni pretok,16.6
9280,2025-04-23 15:30,2025-04-23 14:30,133,0.209,13.0,20.0,45.0,običajni pretok,17.7
9280,2025-04-23 16:30,2025-04-23 15:30,133,0.209,13.0,20.0,45.0,običajni pretok,18.5
9280,2025-04-23 17:30,2025-04-23 16:30,132,0.193,13.0,20.0,45.0,običajni pretok,19.0
9280,2025-04-23 18:30,2025-04-23 17:30,132,0.193,13.0,20.0,45.0,običajni pretok,19.2
9280,2025-04-23 19:30,2025-04-23 18:30,132,0.193,13.0,20.0,45.0,običajni pretok,19.2
9280,2025-04-23 20:30,2025-04-23 19:30,132,0.193,13.0,20.0,45.0,običajni pretok,18.8
9280,2025-04-23 21:30,2025-04-23 20:30,132,0.193,13.0,20.0,45.0,običajni pretok,18.3
9280,2025-04-23 22:30,2025-04-23 21:30,132,0.193,13.0,20.0,45.0,običajni pretok,17.6
9280,2025-04-23 23:30,2025-04-23 22:30,132,0.193,13.0,20.0,45.0,običajni pretok,17.1
9280,2025-04-24 00:30,2025-04-23 23:30,132,0.193,13.0,20.0,45.0,običajni pretok,16.6
9280,2025-04-24 02:00,2025-04-24 01:00,132,0.193,13.0,20.0,45.0,običajni pretok,15.8
9280,2025-04-24 03:30,2025-04-24 02:30,132,0.193,13.0,20.0,45.0,običajni pretok,15.1
9280,2025-04-24 04:30,2025-04-24 03:30,132,0.193,13.0,20.0,45.0,običajni pretok,14.6
9280,2025-04-24 05:30,2025-04-24 04:30,132,0.193,13.0,20.0,45.0,običajni pretok,14.2
9280,2025-04-24 06:30,2025-04-24 05:30,132,0.193,13.0,20.0,45.0,običajni pretok,13.9
9280,2025-04-24 07:30,2025-04-24 06:30,132,0.193,13.0,20.0,45.0,običajni pretok,13.7
9280,2025-04-24 08:30,2025-04-24 07:30,132,0.193,13.0,20.0,45.0,običajni pretok,13.6
9280,2025-04-24 09:30,2025-04-24 08:30,132,0.193,13.0,20.0,45.0,običajni pretok,13.8
9280,2025-04-24 10:30,2025-04-24 09:30,132,0.193,13.0,20.0,45.0,običajni pretok,14.2
9280,2025-04-24 11:30,2025-04-24 10:30,132,0.193,13.0,20.0,45.0,običajni pretok,15.2
9280,2025-04-24 12:30,2025-04-24 11:30,132,0.193,13.0,20.0,45.0,običajni pretok,16.4
9280,2025-04-24 13:30,2025-04-24 12:30,132,0.193,13.0,20.0,45.0,običajni pretok,16.9
9280,2025-04-24 14:30,2025-04-24 13:30,132,0.193,13.0,20.0,45.0,običajni pretok,17.1
9280,2025-04-24 15:30,2025-04-24 14:30,132,0.193,13.0,20.0,45.0,običajni pretok,17.3
9280,2025-04-24 16:30,2025-04-24 15:30,132,0.193,13.0,20.0,45.0,običajni pretok,18.0
9280,2025-04-24 17:30,2025-04-24 16:30,132,0.193,13.0,20.0,45.0,običajni pretok,18.6
9280,2025-04-24 18:30,2025-04-24 17:30,132,0.193,13.0,20.0,45.0,običajni pretok,19.0
9280,2025-04-24 19:30,2025-04-24 18:30,132,0.193,13.0,20.0,45.0,običajni pretok,18.8
9280,2025-04-24 20:30,2025-04-24 19:30,132,0.193,13.0,20.0,45.0,običajni pretok,18.3
9280,2025-04-24 21:30,2025-04-24 20:30,132,0.193,13.0,20.0,45.0,običajni pretok,17.5
9280,2025-04-24 22:30,2025-04-24 21:30,132,0.193,13.0,20.0,45.0,običajni pretok,16.9
9280,2025-04-24 23:30,2025-04-24 22:30,132,0.193,13.0,20.0,45.0,običajni pretok,16.4
9280,2025-04-25 00:30,2025-04-24 23:30,132,0.193,13.0,20.0,45.0,običajni pretok,15.9
9280,2025-04-25 02:00,2025-04-25 01:00,132,0.193,13.0,20.0,45.0,običajni pretok,15.2
9280,2025-04-25 03:30,2025-04-25 02:30,132,0.193,13.0,20.0,45.0,običajni pretok,14.6
9280,2025-04-25 04:30,2025-04-25 03:30,132,0.193,13.0,20.0,45.0,običajni pretok,14.2
9280,2025-04-25 05:30,2025-04-25 04:30,131,0.177,13.0,20.0,45.0,običajni pretok,14.0
9280,2025-04-25 06:30,2025-04-25 05:30,131,0.177,13.0,20.0,45.0,običajni pretok,13.8
9280,2025-04-25 07:30,2025-04-25 06:30,131,0.177,13.0,20.0,45.0,običajni pretok,13.6
9280,2025-04-25 08:30,2025-04-25 07:30,132,0.193,13.0,20.0,45.0,običajni pretok,13.5
9280,2025-04-25 09:30,2025-04-25 08:30,134,0.227,13.0,20.0,45.0,običajni pretok,13.4
9280,2025-04-25 10:30,2025-04-25 09:30,134,0.227,13.0,20.0,45.0,običajni pretok,13.4
9280,2025-04-25 11:30,2025-04-25 10:30,135,0.247,13.0,20.0,45.0,običajni pretok,13.4
9280,2025-04-25 12:30,2025-04-25 11:30,136,0.267,13.0,20.0,45.0,običajni pretok,13.6
9280,2025-04-25 13:30,2025-04-25 12:30,135,0.247,13.0,20.0,45.0,običajni pretok,13.9
9280,2025-04-25 14:30,2025-04-25 13:30,135,0.247,13.0,20.0,45.0,običajni pretok,14.4
9280,2025-04-25 15:30,2025-04-25 14:30,134,0.227,13.0,20.0,45.0,običajni pretok,15.1
9280,2025-04-25 16:30,2025-04-25 15:30,134,0.227,13.0,20.0,45.0,običajni pretok,15.6
9280,2025-04-25 17:30,2025-04-25 16:30,134,0.227,13.0,20.0,45.0,običajni pretok,16.0
9280,2025-04-25 18:30,2025-04-25 17:30,133,0.209,13.0,20.0,45.0,običajni pretok,16.1
9280,2025-04-25 19:30,2025-04-25 18:30,133,0.209,13.0,20.0,45.0,običajni pretok,16.0
9280,2025-04-25 20:30,2025-04-25 19:30,133,0.209,13.0,20.0,45.0,običajni pretok,15.7
9280,2025-04-25 21:30,2025-04-25 20:30,133,0.209,13.0,20.0,45.0,običajni pretok,15.5
9280,2025-04-25 22:30,2025-04-25 21:30,133,0.209,13.0,20.0,45.0,običajni pretok,15.2
9280,2025-04-25 23:30,2025-04-25 22:30,133,0.209,13.0,20.0,45.0,običajni pretok,14.9
9280,2025-04-26 00:30,2025-04-25 23:30,133,0.209,13.0,20.0,45.0,običajni pretok,14.7
9280,2025-04-26 02:00,2025-04-26 01:00,132,0.193,13.0,20.0,45.0,običajni pretok,14.2
9280,2025-04-26 03:30,2025-04-26 02:30,132,0.193,13.0,20.0,45.0,običajni pretok,13.8
9280,2025-04-26 04:30,2025-04-26 03:30,133,0.209,13.0,20.0,45.0,običajni pretok,13.6
9280,2025-04-26 05:30,2025-04-26 04:30,133,0.209,13.0,20.0,45.0,običajni pretok,13.4
9280,2025-04-26 06:30,2025-04-26 05:30,133,0.209,13.0,20.0,45.0,običajni pretok,13.2
9280,2025-04-26 07:30,2025-04-26 06:30,133,0.209,13.0,20.0,45.0,običajni pretok,13.1
9280,2025-04-26 08:30,2025-04-26 07:30,133,0.209,13.0,20.0,45.0,običajni pretok,13.0
9280,2025-04-26 09:30,2025-04-26 08:30,133,0.209,13.0,20.0,45.0,običajni pretok,13.0
9280,2025-04-26 10:30,2025-04-26 09:30,133,0.209,13.0,20.0,45.0,običajni pretok,13.2
9280,2025-04-26 11:30,2025-04-26 10:30,133,0.209,13.0,20.0,45.0,običajni pretok,13.8
9280,2025-04-26 12:30,2025-04-26 11:30,133,0.209,13.0,20.0,45.0,običajni pretok,14.2
9280,2025-04-26 13:30,2025-04-26 12:30,133,0.209,13.0,20.0,45.0,običajni pretok,15.0
9280,2025-04-26 14:30,2025-04-26 13:30,133,0.209,13.0,20.0,45.0,običajni pretok,15.6
9280,2025-04-26 15:30,2025-04-26 14:30,133,0.209,13.0,20.0,45.0,običajni pretok,15.8
9280,2025-04-26 16:30,2025-04-26 15:30,133,0.209,13.0,20.0,45.0,običajni pretok,16.1
9280,2025-04-26 17:30,2025-04-26 16:30,133,0.209,13.0,20.0,45.0,običajni pretok,16.2
9280,2025-04-26 18:30,2025-04-26 17:30,133,0.209,13.0,20.0,45.0,običajni pretok,16.1
9280,2025-04-26 19:30,2025-04-26 18:30,133,0.209,13.0,20.0,45.0,običajni pretok,16.0
9280,2025-04-26 20:30,2025-04-26 19:30,132,0.193,13.0,20.0,45.0,običajni pretok,15.7
9280,2025-04-26 21:30,2025-04-26 20:30,132,0.193,13.0,20.0,45.0,običajni pretok,15.3
9280,2025-04-26 22:30,2025-04-26 21:30,132,0.193,13.0,20.0,45.0,običajni pretok,14.9
