sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
9300,2025-04-19 22:30,2025-04-19 21:30,86,1.29,39.0,85.0,120.0,običajni pretok,13.2
9300,2025-04-22 07:30,2025-04-22 06:30,82,0.945,39.0,85.0,120.0,običajni pretok,13.4
9300,2025-04-22 10:30,2025-04-22 09:30,81,0.867,39.0,85.0,120.0,običajni pretok,13.6
9300,2025-04-22 11:00,2025-04-22 10:00,82,0.945,39.0,85.0,120.0,običajni pretok,13.6
9300,2025-04-22 11:30,2025-04-22 10:30,82,0.945,39.0,85.0,120.0,običajni pretok,13.7
9300,2025-04-22 12:30,2025-04-22 11:30,81,0.867,39.0,85.0,120.0,običajni pretok,13.8
9300,2025-04-22 13:30,2025-04-22 12:30,81,0.867,39.0,85.0,120.0,običajni pretok,13.9
9300,2025-04-22 14:30,2025-04-22 13:30,81,0.867,39.0,85.0,120.0,običajni pretok,14.0
9300,2025-04-22 15:30,2025-04-22 14:30,81,0.867,39.0,85.0,120.0,običajni pretok,14.2
9300,2025-04-22 16:30,2025-04-22 15:30,81,0.867,39.0,85.0,120.0,običajni pretok,14.3
9300,2025-04-22 17:30,2025-04-22 16:30,81,0.867,39.0,85.0,120.0,običajni pretok,14.3
9300,2025-04-22 18:30,2025-04-22 17:30,81,0.867,39.0,85.0,120.0,običajni pretok,14.2
9300,2025-04-22 19:30,2025-04-22 18:30,81,0.867,39.0,85.0,120.0,običajni pretok,14.1
9300,2025-04-22 20:30,2025-04-22 19:30,81,0.867,39.0,85.0,120.0,običajni pretok,14.0
9300,2025-04-22 21:30,2025-04-22 20:30,80,0.793,39.0,85.0,120.0,običajni pretok,13.9
9300,2025-04-22 22:30,2025-04-22 21:30,80,0.793,39.0,85.0,120.0,običajni pretok,13.8
9300,2025-04-22 23:30,2025-04-22 22:30,81,0.867,39.0,85.0,120.0,običajni pretok,13.8
9300,2025-04-23 00:30,2025-04-22 23:30,80,0.793,39.0,85.0,120.0,običajni pretok,13.8
9300,2025-04-23 02:00,2025-04-23 01:00,80,0.793,39.0,85.0,120.0,običajni pretok,13.8
9300,2025-04-23 03:30,2025-04-23 02:30,80,0.793,39.0,85.0,120.0,običajni pretok,13.9
9300,2025-04-23 04:30,2025-04-23 03:30,80,0.793,39.0,85.0,120.0,običajni pretok,13.9
9300,2025-04-23 05:30,2025-04-23 04:30,80,0.793,39.0,85.0,120.0,običajni pretok,14.0
9300,2025-04-23 06:30,2025-04-23 05:30,80,0.793,39.0,85.0,120.0,običajni pretok,14.0
9300,2025-04-23 07:30,2025-04-23 06:30,80,0.793,39.0,85.0,120.0,običajni pretok,14.1
9300,2025-04-23 08:30,2025-04-23 07:30,80,0.793,39.0,85.0,120.0,običajni pretok,14.1
9300,2025-04-23 09:30,2025-04-23 08:30,80,0.793,39.0,85.0,120.0,običajni pretok,14.1
9300,2025-04-23 10:30,2025-04-23 09:30,80,0.793,39.0,85.0,120.0,običajni pretok,14.2
9300,2025-04-23 11:30,2025-04-23 10:30,79,0.732,39.0,85.0,120.0,običajni pretok,14.5
9300,2025-04-23 12:30,2025-04-23 11:30,79,0.732,39.0,85.0,120.0,običajni pretok,14.9
9300,2025-04-23 13:30,2025-04-23 12:30,79,0.732,39.0,85.0,120.0,običajni pretok,15.1
