timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,16.7,9.4,62,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,17.8,10.4,62,0,,0,,,0.0,BOHINJSKA ČEŠNJICA
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,19.2,8.8,51,0,0.0,0,,,0.0,BOHINJSKA ČEŠNJICA
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,20.4,9.0,48,0,,0,,,0.0,BOHINJSKA ČEŠNJICA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,21.4,9.0,45,0,,0,,,0.0,BOHINJSKA ČEŠNJICA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,21.0,9.0,46,0,0.0,0,,,0.0,BOHINJSKA ČEŠNJICA
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,19.6,8.6,49,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,20.5,8.5,46,0,0.0,0,,,0.0,BOHINJSKA ČEŠNJICA
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,19.3,9.2,52,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,15.9,9.6,66,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,13.3,9.2,76,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,12.3,9.0,80,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,11.1,8.2,82,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,11.6,9.0,84,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,11.1,9.0,87,0,0.0,0,,,0.0,BOHINJSKA ČEŠNJICA
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,12.0,8.8,81,0,0.0,0,,,0.0,BOHINJSKA ČEŠNJICA
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,13.8,9.3,74,0,,0,,,0.0,BOHINJSKA ČEŠNJICA
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,15.0,9.4,69,0,0.0,0,,,0.0,BOHINJSKA ČEŠNJICA
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,17.3,10.0,62,0,,0,,,0.0,BOHINJSKA ČEŠNJICA
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,11.2,9.3,88,0,,0,,,,BOHINJSKA ČEŠNJICA
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,16.8,8.2,57,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,15.8,11.0,73,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,18.3,9.4,56,0,,0,,,0.0,BOHINJSKA ČEŠNJICA
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,18.7,8.7,52,0,,0,,,0.0,BOHINJSKA ČEŠNJICA
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,18.3,8.6,53,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,18.6,9.7,56,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,17.7,9.1,57,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,17.0,8.7,58,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,15.3,8.5,64,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,14.4,8.8,69,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,12.5,8.6,77,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,10.9,7.8,81,0,0.0,0,,,,BOHINJSKA ČEŠNJICA
