timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,19.4,9.9,54,0.0,0.0,0.14,,,0,BREGINJ
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,19.3,8.6,50,0.0,,0.14,,,0,BREGINJ
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,20.6,9.5,49,0.0,0.0,0.14,,,0,BREGINJ
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,20.1,8.1,46,0.0,,0.14,,,0,BREGINJ
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,20.7,8.4,45,0.0,,0.14,,,0,BREGINJ
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,19.9,8.6,48,0.0,0.0,0.14,,,0,BREGINJ
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,19.5,8.5,49,0.0,0.0,0.14,,,0,BREGINJ
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,19.4,9.9,54,0.0,0.0,0.14,,,0,BREGINJ
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,15.9,12.6,81,0.0,0.1,0.24,,,0,BREGINJ
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,13.2,10.7,85,0.0,0.0,0.24,,,0,BREGINJ
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,12.1,10.2,88,0.0,0.0,0.0,,,0,BREGINJ
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,12.2,10.3,88,0.0,0.0,0.0,,,0,BREGINJ
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,11.5,9.9,90,0.0,0.0,0.0,,,0,BREGINJ
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,11.3,9.6,89,0.0,0.0,0.0,,,0,BREGINJ
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,10.8,9.4,91,0.0,0.0,0.0,,,0,BREGINJ
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,12.1,10.2,88,0.0,0.0,0.0,,,0,BREGINJ
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,14.2,10.4,78,0.0,,0.14,,,0,BREGINJ
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,15.1,10.9,76,0.0,0.0,0.14,,,0,BREGINJ
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,18.4,9.5,56,0.0,,0.14,,,0,BREGINJ
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,11.6,10.0,90,0.0,,0.22,,,0,BREGINJ
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,12.7,10.4,86,0.0,0.04,4.79,,,0,BREGINJ
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,14.0,11.0,82,0.0,0.0,4.79,,,0,BREGINJ
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,17.8,11.1,65,0.0,,4.79,,,0,BREGINJ
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,19.8,10.2,54,0.0,,4.79,,,0,BREGINJ
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,20.2,9.2,49,0.0,0.0,4.79,,,0,BREGINJ
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,19.2,9.4,53,0.0,0.0,4.79,,,0,BREGINJ
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,18.1,11.0,63,0.0,0.0,4.79,,,0,BREGINJ
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,14.9,12.8,87,0.0,0.2,4.99,,,0,BREGINJ
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,13.4,10.6,83,5.17,6.99,11.98,,,0,BREGINJ
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,11.2,10.1,93,0.25,4.7,4.7,,,0,BREGINJ
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,11.3,10.4,94,0.0,0.0,4.7,,,0,BREGINJ
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,10.1,9.2,94,0.0,0.0,4.7,,,0,BREGINJ
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,9.3,8.7,96,0.0,0.0,4.7,,,0,BREGINJ
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,9.4,8.8,96,0.0,0.0,4.7,,,0,BREGINJ
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,14.1,7.9,66,0.0,,1.62,,,0,BREGINJ
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,12.3,9.7,84,3.33,,5.74,,,0,BREGINJ
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,11.6,8.6,82,2.11,7.19,9.0,,,0,BREGINJ
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,10.7,9.5,92,0.0,0.79,9.79,,,0,BREGINJ
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,11.3,9.9,91,0.0,0.0,9.79,,,0,BREGINJ
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,11.4,7.9,79,0.55,2.83,2.83,,,0,BREGINJ
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,10.9,9.5,91,0.6,0.91,3.74,,,0,BREGINJ
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,11.9,10.6,92,0.08,1.01,4.75,,,0,BREGINJ
24.04.2025 0:40 UTC,24.04.2025 2:40 CEST,9.0,8.4,96,0.0,,4.7,,,0,BREGINJ
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,15.5,12.1,80,0.0,0.0,0.0,,,0,BREGINJ
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,15.2,12.9,86,0.14,2.33,2.33,,,0,BREGINJ
24.04.2025 12:10 UTC,24.04.2025 14:10 CEST,15.2,12.0,81,0.52,,3.06,,,0,BREGINJ
24.04.2025 13:10 UTC,24.04.2025 15:10 CEST,14.4,9.8,74,0.21,,4.54,,,0,BREGINJ
24.04.2025 14:00 UTC,24.04.2025 16:00 CEST,14.5,10.1,75,0.15,0.6,4.93,,,0,BREGINJ
24.04.2025 15:00 UTC,24.04.2025 17:00 CEST,13.5,11.6,88,0.0,0.31,5.24,,,0,BREGINJ
24.04.2025 16:00 UTC,24.04.2025 18:00 CEST,13.1,11.3,89,0.23,0.76,6.0,,,0,BREGINJ
24.04.2025 17:00 UTC,24.04.2025 19:00 CEST,12.7,10.2,85,0.0,0.0,6.0,,,0,BREGINJ
24.04.2025 18:00 UTC,24.04.2025 20:00 CEST,12.1,9.3,83,0.0,0.0,6.0,,,0,BREGINJ
24.04.2025 19:00 UTC,24.04.2025 21:00 CEST,11.0,9.8,92,0.0,0.0,0.0,,,0,BREGINJ
24.04.2025 20:00 UTC,24.04.2025 22:00 CEST,10.7,9.6,93,0.0,0.0,0.0,,,0,BREGINJ
24.04.2025 21:00 UTC,24.04.2025 23:00 CEST,10.4,9.3,93,0.0,0.0,0.0,,,0,BREGINJ
24.04.2025 22:00 UTC,25.04.2025 0:00 CEST,10.6,9.2,91,0.0,0.0,0.0,,,0,BREGINJ
24.04.2025 23:00 UTC,25.04.2025 1:00 CEST,10.9,8.1,83,0.0,0.0,0.0,,,0,BREGINJ
24.04.2025 2:10 UTC,24.04.2025 4:10 CEST,8.9,8.5,97,0.0,,4.7,,,0,BREGINJ
24.04.2025 3:20 UTC,24.04.2025 5:20 CEST,9.5,9.0,97,0.0,,4.7,,,0,BREGINJ
24.04.2025 4:00 UTC,24.04.2025 6:00 CEST,9.7,9.2,97,0.0,0.0,4.7,,,0,BREGINJ
24.04.2025 5:00 UTC,24.04.2025 7:00 CEST,9.8,9.3,97,0.0,0.0,4.7,,,0,BREGINJ
24.04.2025 6:00 UTC,24.04.2025 8:00 CEST,11.1,10.6,97,0.0,0.0,4.7,,,0,BREGINJ
24.04.2025 7:00 UTC,24.04.2025 9:00 CEST,13.6,11.3,86,0.0,0.0,0.0,,,0,BREGINJ
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,13.4,11.3,87,0.0,0.0,0.0,,,0,BREGINJ
