timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,20.7,12.3,59,0.0,0.0,0.0,1.64,332,,CERKLJE - LETALIŠČE
22.04.2025 12:00 UTC,22.04.2025 14:00 CEST,22.9,10.7,46,0.0,0.0,0.0,1.95,60,,CERKLJE - LETALIŠČE
22.04.2025 13:00 UTC,22.04.2025 15:00 CEST,23.9,10.6,43,0.0,0.0,0.0,1.48,68,,CERKLJE - LETALIŠČE
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,23.7,9.6,41,0.0,0.0,0.0,2.73,34,,CERKLJE - LETALIŠČE
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,23.4,9.8,42,0.0,0.0,0.0,2.22,65,,CERKLJE - LETALIŠČE
22.04.2025 8:30 UTC,22.04.2025 10:30 CEST,18.7,10.9,60,0.0,,0.0,1.04,83,,CERKLJE - LETALIŠČE
22.04.2025 9:30 UTC,22.04.2025 11:30 CEST,19.7,13.1,66,0.0,,0.0,2.21,297,,CERKLJE - LETALIŠČE
23.04.2025 0:30 UTC,23.04.2025 2:30 CEST,12.8,10.1,84,0.0,,0.0,0.6,189,,CERKLJE - LETALIŠČE
23.04.2025 12:00 UTC,23.04.2025 14:00 CEST,18.2,12.3,68,0.0,0.0,0.1,2.78,258,,CERKLJE - LETALIŠČE
23.04.2025 13:00 UTC,23.04.2025 15:00 CEST,21.0,11.7,55,0.0,0.0,0.1,1.33,276,,CERKLJE - LETALIŠČE
23.04.2025 2:00 UTC,23.04.2025 4:00 CEST,10.7,9.2,91,0.0,0.0,0.0,0.87,238,,CERKLJE - LETALIŠČE
23.04.2025 3:00 UTC,23.04.2025 5:00 CEST,10.4,8.9,90,0.0,0.0,0.0,1.69,282,,CERKLJE - LETALIŠČE
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,11.6,10.5,93,0.0,0.0,0.0,1.03,256,,CERKLJE - LETALIŠČE
24.04.2025 0:30 UTC,24.04.2025 2:30 CEST,10.2,9.6,96,0.0,,0.0,1.45,286,,CERKLJE - LETALIŠČE
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,20.5,12.7,61,0.0,0.0,0.0,1.31,192,,CERKLJE - LETALIŠČE
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,20.4,12.5,60,0.0,0.0,0.0,1.91,85,,CERKLJE - LETALIŠČE
24.04.2025 12:00 UTC,24.04.2025 14:00 CEST,18.3,13.3,73,2.9,2.9,2.9,1.94,264,,CERKLJE - LETALIŠČE
24.04.2025 13:00 UTC,24.04.2025 15:00 CEST,15.5,13.8,90,1.2,4.1,7.0,1.39,273,,CERKLJE - LETALIŠČE
24.04.2025 14:00 UTC,24.04.2025 16:00 CEST,14.2,13.0,93,1.6,5.7,12.7,5.29,246,,CERKLJE - LETALIŠČE
24.04.2025 15:00 UTC,24.04.2025 17:00 CEST,14.7,13.8,94,1.0,1.0,13.7,1.68,255,,CERKLJE - LETALIŠČE
24.04.2025 16:00 UTC,24.04.2025 18:00 CEST,14.6,13.4,92,0,0.1,13.8,1.85,212,,CERKLJE - LETALIŠČE
24.04.2025 2:00 UTC,24.04.2025 4:00 CEST,9.3,8.7,96,0.0,0.0,0.0,1.19,181,,CERKLJE - LETALIŠČE
24.04.2025 3:00 UTC,24.04.2025 5:00 CEST,9.5,9.0,97,0.0,0.0,0.0,0.76,301,,CERKLJE - LETALIŠČE
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,15.8,12.2,79,0.0,0.0,0.0,4.0,249,,CERKLJE - LETALIŠČE
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,18.7,12.3,66,0.0,0.0,0.0,2.1,257,,CERKLJE - LETALIŠČE
