timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,22.2,12.3,53,0,0.0,0.0,1.9,24,,Dobliče Črnomelj
22.04.2025 12:00 UTC,22.04.2025 14:00 CEST,22.8,11.6,49,0,0.0,0.0,1.4,64,,Dobliče Črnomelj
22.04.2025 13:00 UTC,22.04.2025 15:00 CEST,24.2,10.5,42,0,0.0,0.0,1.1,138,,Dobliče Črnomelj
22.04.2025 8:30 UTC,22.04.2025 10:30 CEST,20.0,12.1,60,0,,0.0,1.4,176,,Dobliče Črnomelj
22.04.2025 9:30 UTC,22.04.2025 11:30 CEST,20.4,11.0,55,0,,0.0,1.7,292,,Dobliče Črnomelj
23.04.2025 0:30 UTC,23.04.2025 2:30 CEST,12.0,10.9,93,0,,0.0,0.6,3,,Dobliče Črnomelj
23.04.2025 12:00 UTC,23.04.2025 14:00 CEST,20.3,11.6,57,0,0.0,1.65,0.8,69,,Dobliče Črnomelj
23.04.2025 13:00 UTC,23.04.2025 15:00 CEST,21.6,11.0,51,0,0.0,1.65,0.3,13,,Dobliče Črnomelj
23.04.2025 2:00 UTC,23.04.2025 4:00 CEST,11.0,10.2,95,0,0.0,0.0,0.0,360,,Dobliče Črnomelj
23.04.2025 3:00 UTC,23.04.2025 5:00 CEST,10.6,9.9,95,0,0.0,0.0,0.1,0,,Dobliče Črnomelj
24.04.2025 0:30 UTC,24.04.2025 2:30 CEST,10.4,9.8,96,0,,0.0,0.0,240,,Dobliče Črnomelj
24.04.2025 2:00 UTC,24.04.2025 4:00 CEST,9.9,9.4,96,0,0.0,0.0,0.2,214,,Dobliče Črnomelj
24.04.2025 3:00 UTC,24.04.2025 5:00 CEST,10.0,9.6,97,0,0.0,0.0,0.8,249,,Dobliče Črnomelj
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,14.3,12.5,89,0,0.0,0.0,0.6,133,,Dobliče Črnomelj
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,15.8,13.3,85,0,0,0,0.5,47,,Dobliče Črnomelj
