timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,18.4,10.0,58,0.0,0.0,0.0,1.65,188,,HRASTNIK
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,17.4,11.9,70,0.0,,0.0,0.73,156,,HRASTNIK
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,18.2,10.3,60,0.0,0.0,0.0,0.49,219,,HRASTNIK
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,21.3,9.2,46,0.0,,0.0,1.16,151,,HRASTNIK
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,22.2,9.0,43,0.0,,0.0,1.01,138,,HRASTNIK
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,22.4,9.6,44,0.0,0.0,0.0,1.38,205,,HRASTNIK
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,22.0,9.5,45,0.0,0.0,0.0,1.41,164,,HRASTNIK
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,20.4,12.1,59,0.0,0.0,0.0,0.53,19,,HRASTNIK
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,19.1,13.1,68,0.0,0.0,0.0,0.55,162,,HRASTNIK
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,17.8,12.9,73,0.0,0.0,0.0,0.49,25,,HRASTNIK
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,16.1,12.3,78,0.0,0.0,0.0,0.3,40,,HRASTNIK
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,15.1,11.3,78,0.0,0.0,0.0,0.73,18,,HRASTNIK
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,14.5,12.4,87,0.0,0.0,0.0,0.28,358,,HRASTNIK
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,13.9,12.5,91,0.0,0.0,0.0,0.35,2,,HRASTNIK
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,12.9,11.5,91,0.0,0.0,0.0,0.65,12,,HRASTNIK
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,15.4,11.2,76,0.0,0.0,0.0,0.81,194,,HRASTNIK
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,19.1,9.3,53,0.0,,0.0,1.56,164,,HRASTNIK
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,19.5,10.5,56,0.0,0.0,0.0,1.85,177,,HRASTNIK
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,19.4,9.6,53,0.0,,0.0,1.67,158,,HRASTNIK
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,12.4,11.1,92,0.0,,0.0,0.26,93,,HRASTNIK
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,17.9,13.0,73,0.0,0.0,0.0,0.46,167,,HRASTNIK
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,18.0,10.9,63,0.0,0.15,0.15,0.64,220,,HRASTNIK
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,15.5,13.5,88,0.36,,1.76,0.41,149,,HRASTNIK
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,17.4,13.5,78,0.0,,1.84,0.78,48,,HRASTNIK
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,18.6,12.4,67,0.0,0.0,1.84,0.81,356,,HRASTNIK
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,19.2,11.8,62,0.0,0.0,1.84,1.19,311,,HRASTNIK
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,19.4,11.4,60,0.0,0.0,1.84,0.43,233,,HRASTNIK
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,18.1,13.2,73,0.0,0.0,1.84,0.33,174,,HRASTNIK
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,16.2,12.9,81,0.0,0.0,1.84,0.18,126,,HRASTNIK
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,14.4,12.1,86,0.0,0.0,0.0,0.25,20,,HRASTNIK
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,13.2,11.6,90,0.0,0.0,0.0,0.45,4,,HRASTNIK
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,12.4,11.1,92,0.0,0.0,0.0,0.31,166,,HRASTNIK
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,11.9,11.0,94,0.0,0.0,0.0,0.25,139,,HRASTNIK
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,11.1,10.2,94,0.0,0.0,0.0,0.41,193,,HRASTNIK
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,12.4,11.0,91,0.0,,0.0,0.37,24,,HRASTNIK
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,12.0,10.6,91,0.0,,0.0,0.25,56,,HRASTNIK
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,11.8,10.4,91,0.0,0.0,0.0,0.25,64,,HRASTNIK
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,11.5,10.2,92,0.0,0.0,0.0,0.41,41,,HRASTNIK
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,12.9,10.6,86,0.0,0.0,0.0,0.49,12,,HRASTNIK
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,16.0,10.8,71,0.0,0.0,0.0,0.53,132,,HRASTNIK
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,18.2,10.6,61,0.0,0.0,0.0,1.03,162,,HRASTNIK
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,18.8,11.1,61,0.0,0.0,0.0,0.86,162,,HRASTNIK
24.04.2025 0:40 UTC,24.04.2025 2:40 CEST,10.2,9.4,95,0.0,,0.0,0.23,55,,HRASTNIK
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,20.3,11.5,57,0.0,0.0,0.0,1.19,187,,HRASTNIK
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,17.0,13.1,78,0.0,0.0,0.0,0.74,246,,HRASTNIK
24.04.2025 12:10 UTC,24.04.2025 14:10 CEST,16.2,13.3,83,0.0,,0.3,0.59,348,,HRASTNIK
24.04.2025 13:10 UTC,24.04.2025 15:10 CEST,14.0,12.7,92,0.76,,3.72,1.19,26,,HRASTNIK
24.04.2025 14:00 UTC,24.04.2025 16:00 CEST,14.0,13.1,94,0.04,2.1,5.06,0.52,130,,HRASTNIK
24.04.2025 15:00 UTC,24.04.2025 17:00 CEST,13.8,12.5,92,0.45,1.27,6.33,0.65,112,,HRASTNIK
24.04.2025 16:00 UTC,24.04.2025 18:00 CEST,13.5,12.7,95,0.0,1.65,7.98,0.85,122,,HRASTNIK
24.04.2025 17:00 UTC,24.04.2025 19:00 CEST,13.0,12.2,95,0.1,0.34,8.32,0.84,135,,HRASTNIK
24.04.2025 18:00 UTC,24.04.2025 20:00 CEST,12.3,11.7,96,0.2,1.24,9.56,0.54,132,,HRASTNIK
24.04.2025 19:00 UTC,24.04.2025 21:00 CEST,12.1,11.6,97,0.34,1.01,1.01,0.36,191,,HRASTNIK
24.04.2025 20:00 UTC,24.04.2025 22:00 CEST,11.9,11.4,97,0.1,0.85,1.86,0.41,329,,HRASTNIK
24.04.2025 21:00 UTC,24.04.2025 23:00 CEST,11.6,11.1,97,0.0,0.22,2.08,0.68,170,,HRASTNIK
24.04.2025 22:00 UTC,25.04.2025 0:00 CEST,11.4,10.9,97,0.26,1.48,3.56,0.27,189,,HRASTNIK
24.04.2025 23:00 UTC,25.04.2025 1:00 CEST,11.4,11.1,98,0.0,0.58,4.14,0.5,183,,HRASTNIK
24.04.2025 2:10 UTC,24.04.2025 4:10 CEST,9.2,8.6,96,0.0,,0.0,0.22,4,,HRASTNIK
24.04.2025 3:20 UTC,24.04.2025 5:20 CEST,9.0,8.4,96,0.0,,0.0,0.22,173,,HRASTNIK
24.04.2025 4:00 UTC,24.04.2025 6:00 CEST,9.0,8.6,97,0.0,0.0,0.0,0.27,38,,HRASTNIK
24.04.2025 5:00 UTC,24.04.2025 7:00 CEST,9.5,9.2,98,0.0,0.0,0.0,0.6,175,,HRASTNIK
24.04.2025 6:00 UTC,24.04.2025 8:00 CEST,10.3,9.8,97,0.0,0.0,0.0,0.52,72,,HRASTNIK
24.04.2025 7:00 UTC,24.04.2025 9:00 CEST,14.0,11.2,83,0.0,0.0,0.0,0.61,125,,HRASTNIK
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,15.0,11.8,81,0.0,0.0,0.0,1.67,178,,HRASTNIK
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,19.4,11.4,60,0.0,0.0,0.0,0.89,151,,HRASTNIK
25.04.2025 0:40 UTC,25.04.2025 2:40 CEST,11.3,11.0,98,0.0,,5.74,0.36,170,,HRASTNIK
