timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,14.8,7.4,61,,,,,,0,JEZERSKO
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,16.2,8.7,61,,,,,,0,JEZERSKO
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,16.0,8.3,60,,,,,,0,JEZERSKO
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,16.1,8.1,59,,,,,,0,JEZERSKO
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,16.2,8.4,60,,,,,,0,JEZERSKO
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,16.4,8.4,59,,,,,,0,JEZERSKO
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,17.6,7.6,52,,,,,,0,JEZERSKO
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,17.4,9.3,59,,,,,,0,JEZERSKO
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,15.1,8.8,66,,,,,,0,JEZERSKO
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,12.2,9.0,81,,,,,,0,JEZERSKO
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,8.8,7.6,92,,,,,,0,JEZERSKO
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,7.1,6.2,94,,,,,,0,JEZERSKO
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,6.4,5.5,94,,,,,,0,JEZERSKO
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,6.9,6.2,95,,,,,,0,JEZERSKO
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,8.5,7.9,96,,,,,,0,JEZERSKO
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,13.5,6.6,63,,,,,,0,JEZERSKO
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,14.5,9.3,71,,,,,,0,JEZERSKO
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,14.3,8.0,66,,,,,,0,JEZERSKO
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,14.5,8.9,69,,,,,,0,JEZERSKO
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,7.5,6.9,96,,,,,,0,JEZERSKO
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,13.0,9.1,77,,,,,,0,JEZERSKO
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,13.9,8.9,72,,,,,,0,JEZERSKO
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,15.2,8.9,66,,,,,,0,JEZERSKO
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,15.0,7.3,60,,,,,,0,JEZERSKO
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,13.6,9.7,77,,,,,,0,JEZERSKO
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,14.1,9.3,73,,,,,,0,JEZERSKO
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,13.4,9.8,79,,,,,,0,JEZERSKO
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,11.9,9.8,87,,,,,,0,JEZERSKO
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,10.5,9.4,93,,,,,,0,JEZERSKO
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,8.4,7.5,94,,,,,,0,JEZERSKO
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,7.7,7.3,97,,,,,,0,JEZERSKO
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,6.6,6.2,97,,,,,,0,JEZERSKO
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,6.1,5.8,98,,,,,,0,JEZERSKO
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,4.8,4.4,97,,,,,,0,JEZERSKO
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,7.3,7.0,98,,,,,,0,JEZERSKO
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,7.7,7.4,98,,,,,,0,JEZERSKO
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,7.8,7.5,98,,,,,,0,JEZERSKO
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,8.3,8.0,98,,,,,,0,JEZERSKO
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,9.7,9.2,97,,,,,,0,JEZERSKO
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,11.5,8.7,83,,,,,,0,JEZERSKO
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,12.1,8.8,80,,,,,,0,JEZERSKO
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,12.8,9.6,81,,,,,,0,JEZERSKO
24.04.2025 0:40 UTC,24.04.2025 2:40 CEST,3.5,3.1,97,,,,,,0,JEZERSKO
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,10.5,8.3,86,,,,,,0,JEZERSKO
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,10.4,9.6,95,,,,,,0,JEZERSKO
