timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,18.1,10.7,62,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,17.7,11.0,65,0.0,,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,18.6,10.7,60,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,17.7,11.7,68,0.0,,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,18.7,10.0,57,0.0,,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,19.8,10.5,55,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,19.6,10.3,55,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,18.1,13.4,74,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,16.3,12.7,79,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,14.0,11.3,84,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,11.8,9.9,88,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,10.5,9.6,94,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,10.0,9.4,96,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,10.7,9.8,94,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,11.1,10.9,99,0.86,7.7,7.7,,,0,KAMNIŠKA BISTRICA
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,12.7,10.8,88,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,16.7,10.8,68,0.0,,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,16.9,11.2,69,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,17.8,10.4,62,0.0,,0.0,,,0,KAMNIŠKA BISTRICA
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,10.5,10.2,98,0.0,,8.94,,,0,KAMNIŠKA BISTRICA
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,14.6,14.1,97,0.03,0.22,0.22,,,0,KAMNIŠKA BISTRICA
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,15.7,14.7,94,0.11,0.11,0.33,,,0,KAMNIŠKA BISTRICA
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,16.8,13.7,82,0.0,,0.33,,,0,KAMNIŠKA BISTRICA
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,17.7,12.4,71,0.0,,0.33,,,0,KAMNIŠKA BISTRICA
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,18.0,10.9,63,0.0,0.0,0.33,,,0,KAMNIŠKA BISTRICA
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,18.2,12.2,68,0.0,0.0,0.33,,,0,KAMNIŠKA BISTRICA
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,16.2,13.3,83,0.0,0.0,0.33,,,0,KAMNIŠKA BISTRICA
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,13.9,12.5,91,0.0,0.0,0.33,,,0,KAMNIŠKA BISTRICA
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,12.9,11.8,93,0.0,0.0,0.33,,,0,KAMNIŠKA BISTRICA
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,11.7,10.9,95,0,0,0,,,0,KAMNIŠKA BISTRICA
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,10.1,10.0,99,0.0,,8.94,,,0,KAMNIŠKA BISTRICA
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,10.2,10.1,99,0.0,,8.94,,,0,KAMNIŠKA BISTRICA
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,10.2,10.1,99,0.0,0.0,8.94,,,0,KAMNIŠKA BISTRICA
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,10.4,10.2,99,0.0,0.0,8.94,,,0,KAMNIŠKA BISTRICA
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,11.4,11.2,99,0.0,0.0,8.94,,,0,KAMNIŠKA BISTRICA
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,13.1,12.6,97,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,13.8,12.2,90,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,14.7,13.2,91,0.0,0.0,0.0,,,0,KAMNIŠKA BISTRICA
