timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,3.2,2.3,94,0.0,0.0,0.6,1.83,153,203,KANIN
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,3.4,2.8,96,0.0,,0.6,1.44,192,203,KANIN
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,3.9,1.9,87,0.0,0.0,0.6,2.81,186,203,KANIN
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,3.8,3.1,95,0.0,,0.6,3.24,191,203,KANIN
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,3.9,3.2,95,0.0,,0.6,1.61,172,202,KANIN
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,3.9,3.3,96,0.17,0.17,0.77,1.52,199,202,KANIN
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,4.0,3.7,98,0.0,1.38,2.15,2.53,197,202,KANIN
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,4.1,2.9,92,0.0,0.36,2.51,1.55,196,202,KANIN
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,4.3,0.8,78,0.0,0.0,2.51,2.37,204,202,KANIN
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,3.7,1.3,84,0.0,0.0,2.51,1.3,225,202,KANIN
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,3.3,2.6,95,0.0,0.0,0.0,1.33,213,202,KANIN
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,3.2,2.6,96,0,0,0,0.82,147,202,KANIN
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,2.6,0.2,84,0.0,0.06,0.06,1.57,147,204,KANIN
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,2.9,1.1,88,0.0,,0.6,2.07,174,204,KANIN
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,2.8,1.9,94,0.0,0.0,0.6,1.01,170,203,KANIN
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,3.0,2.3,95,0.0,,0.6,2.38,144,203,KANIN
