timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,17.6,15.0,85,,,,3.5,278,,KOPER - KAPETANIJA
22.04.2025 12:00 UTC,22.04.2025 14:00 CEST,18.5,15.0,80,,,,3.8,278,,KOPER - KAPETANIJA
22.04.2025 13:00 UTC,22.04.2025 15:00 CEST,19.6,15.8,79,,,,3.4,300,,KOPER - KAPETANIJA
22.04.2025 8:30 UTC,22.04.2025 10:30 CEST,16.9,13.9,82,,,,2.4,297,,KOPER - KAPETANIJA
22.04.2025 9:30 UTC,22.04.2025 11:30 CEST,17.6,14.6,82,,,,2.6,291,,KOPER - KAPETANIJA
23.04.2025 0:30 UTC,23.04.2025 2:30 CEST,15.5,12.1,80,,,,0.9,116,,KOPER - KAPETANIJA
23.04.2025 12:00 UTC,23.04.2025 14:00 CEST,24.4,10.3,41,,,,1.6,17,,KOPER - KAPETANIJA
23.04.2025 13:00 UTC,23.04.2025 15:00 CEST,20.6,14.8,70,,,,3.7,264,,KOPER - KAPETANIJA
23.04.2025 2:00 UTC,23.04.2025 4:00 CEST,14.6,11.3,81,,,,2.1,107,,KOPER - KAPETANIJA
23.04.2025 3:00 UTC,23.04.2025 5:00 CEST,14.7,11.3,80,,,,0.9,121,,KOPER - KAPETANIJA
24.04.2025 0:30 UTC,24.04.2025 2:30 CEST,13.9,10.2,78,,,,1.9,113,,KOPER - KAPETANIJA
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,17.5,13.9,79,,,,4.3,283,,KOPER - KAPETANIJA
24.04.2025 13:00 UTC,24.04.2025 15:00 CEST,18.0,15.3,84,,,,0.9,336,,KOPER - KAPETANIJA
24.04.2025 2:00 UTC,24.04.2025 4:00 CEST,14.6,10.5,76,,,,0.5,104,,KOPER - KAPETANIJA
24.04.2025 3:00 UTC,24.04.2025 5:00 CEST,14.2,10.3,78,,,,1.4,137,,KOPER - KAPETANIJA
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,17.5,12.0,70,,,,1.1,333,,KOPER - KAPETANIJA
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,17.8,12.6,72,,,,3.0,285,,KOPER - KAPETANIJA
25.04.2025 0:30 UTC,25.04.2025 2:30 CEST,14.9,10.5,75,,,,0.9,110,,KOPER - KAPETANIJA
25.04.2025 10:00 UTC,25.04.2025 12:00 CEST,14.7,9.2,70,,,,2.5,43,,KOPER - KAPETANIJA
25.04.2025 12:00 UTC,25.04.2025 14:00 CEST,16.6,9.1,61,,,,2.5,68,,KOPER - KAPETANIJA
25.04.2025 13:00 UTC,25.04.2025 15:00 CEST,17.7,8.7,56,,,,1.7,53,,KOPER - KAPETANIJA
25.04.2025 15:00 UTC,25.04.2025 17:00 CEST,17.9,8.0,52,,,,3.3,49,,KOPER - KAPETANIJA
25.04.2025 16:00 UTC,25.04.2025 18:00 CEST,17.3,8.1,54,,,,2.9,47,,KOPER - KAPETANIJA
25.04.2025 18:00 UTC,25.04.2025 20:00 CEST,16.5,7.8,56,,,,2.4,75,,KOPER - KAPETANIJA
25.04.2025 20:00 UTC,25.04.2025 22:00 CEST,16.1,6.5,53,,,,1.8,92,,KOPER - KAPETANIJA
25.04.2025 22:00 UTC,26.04.2025 0:00 CEST,14.9,8.6,66,,,,1.6,99,,KOPER - KAPETANIJA
25.04.2025 2:00 UTC,25.04.2025 4:00 CEST,14.7,10.4,76,,,,1.6,121,,KOPER - KAPETANIJA
25.04.2025 3:00 UTC,25.04.2025 5:00 CEST,16.0,9.6,66,,,,1.5,110,,KOPER - KAPETANIJA
25.04.2025 6:00 UTC,25.04.2025 8:00 CEST,16.3,8.7,61,,,,3.1,87,,KOPER - KAPETANIJA
25.04.2025 8:00 UTC,25.04.2025 10:00 CEST,14.0,10.2,78,,,,1.9,22,,KOPER - KAPETANIJA
25.04.2025 9:00 UTC,25.04.2025 11:00 CEST,14.3,10.0,75,,,,1.6,50,,KOPER - KAPETANIJA
26.04.2025 0:30 UTC,26.04.2025 2:30 CEST,13.4,9.6,78,,,,1.2,118,,KOPER - KAPETANIJA
26.04.2025 12:00 UTC,26.04.2025 14:00 CEST,18.1,8.2,52,,,,3.9,58,,KOPER - KAPETANIJA
26.04.2025 13:00 UTC,26.04.2025 15:00 CEST,17.9,8.7,55,,,,3.7,36,,KOPER - KAPETANIJA
26.04.2025 16:00 UTC,26.04.2025 18:00 CEST,17.5,9.3,59,,,,2.3,52,,KOPER - KAPETANIJA
26.04.2025 18:00 UTC,26.04.2025 20:00 CEST,16.8,9.4,62,,,,1.7,73,,KOPER - KAPETANIJA
26.04.2025 18:30 UTC,26.04.2025 20:30 CEST,16.6,9.3,62,,,,2.0,56,,KOPER - KAPETANIJA
26.04.2025 20:00 UTC,26.04.2025 22:00 CEST,16.6,8.8,60,,,,2.7,43,,KOPER - KAPETANIJA
26.04.2025 2:00 UTC,26.04.2025 4:00 CEST,12.3,10.3,87,,,,2.0,129,,KOPER - KAPETANIJA
26.04.2025 3:00 UTC,26.04.2025 5:00 CEST,12.7,9.9,83,,,,1.0,88,,KOPER - KAPETANIJA
26.04.2025 4:00 UTC,26.04.2025 6:00 CEST,12.2,10.6,90,,,,0.8,350,,KOPER - KAPETANIJA
26.04.2025 6:00 UTC,26.04.2025 8:00 CEST,12.5,10.3,86,,,,1.5,143,,KOPER - KAPETANIJA
26.04.2025 8:00 UTC,26.04.2025 10:00 CEST,14.3,10.2,76,,,,1.1,138,,KOPER - KAPETANIJA
27.04.2025 0:30 UTC,27.04.2025 2:30 CEST,14.7,9.1,69,,,,1.4,79,,KOPER - KAPETANIJA
27.04.2025 12:00 UTC,27.04.2025 14:00 CEST,23.5,7.5,36,,,,3.5,30,,KOPER - KAPETANIJA
27.04.2025 13:00 UTC,27.04.2025 15:00 CEST,24.7,5.9,30,,,,4.1,91,,KOPER - KAPETANIJA
27.04.2025 16:00 UTC,27.04.2025 18:00 CEST,19.0,10.8,59,,,,5.5,269,,KOPER - KAPETANIJA
27.04.2025 18:00 UTC,27.04.2025 20:00 CEST,21.2,5.2,35,,,,2.3,68,,KOPER - KAPETANIJA
27.04.2025 20:00 UTC,27.04.2025 22:00 CEST,19.3,6.5,43,,,,1.8,68,,KOPER - KAPETANIJA
27.04.2025 3:00 UTC,27.04.2025 5:00 CEST,15.8,7.4,57,,,,1.6,68,,KOPER - KAPETANIJA
27.04.2025 4:00 UTC,27.04.2025 6:00 CEST,16.0,7.5,57,,,,2.2,52,,KOPER - KAPETANIJA
27.04.2025 5:00 UTC,27.04.2025 7:00 CEST,16.1,7.4,56,,,,2.1,58,,KOPER - KAPETANIJA
27.04.2025 6:00 UTC,27.04.2025 8:00 CEST,16.3,7.3,55,,,,2.9,65,,KOPER - KAPETANIJA
27.04.2025 8:00 UTC,27.04.2025 10:00 CEST,19.3,8.0,48,,,,3.0,68,,KOPER - KAPETANIJA
28.04.2025 0:30 UTC,28.04.2025 2:30 CEST,12.9,7.9,72,,,,1.9,107,,KOPER - KAPETANIJA
28.04.2025 2:00 UTC,28.04.2025 4:00 CEST,13.1,7.5,69,,,,1.8,109,,KOPER - KAPETANIJA
28.04.2025 3:00 UTC,28.04.2025 5:00 CEST,13.5,7.4,67,,,,1.6,107,,KOPER - KAPETANIJA
