timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,11.7,7.6,76,0,0.0,0.95,,,0,KORENSKO SEDLO
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,11.8,7.7,76,0,,0.95,,,0,KORENSKO SEDLO
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,12.0,8.3,78,0,0.0,0.95,,,0,KORENSKO SEDLO
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,13.5,8.4,71,0,,0.95,,,0,KORENSKO SEDLO
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,15.1,8.8,66,0,,0.95,,,0,KORENSKO SEDLO
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,14.2,8.4,68,0,0.0,0.95,,,0,KORENSKO SEDLO
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,14.7,8.2,65,0,0.0,0.95,,,0,KORENSKO SEDLO
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,14.8,8.1,64,0,0.0,0.95,,,0,KORENSKO SEDLO
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,12.6,9.1,79,0,0.0,0.95,,,0,KORENSKO SEDLO
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,10.8,8.6,86,0,0.0,0.95,,,0,KORENSKO SEDLO
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,10.2,8.5,89,0,0,0,,,0,KORENSKO SEDLO
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,9.5,6.6,82,0,0.0,0.0,,,1,KORENSKO SEDLO
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,10.9,8.7,86,0,,0.95,,,0,KORENSKO SEDLO
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,11.2,8.4,83,0,0.0,0.95,,,0,KORENSKO SEDLO
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,11.5,8.0,79,0,,0.95,,,0,KORENSKO SEDLO
