timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,16.6,8.8,60,0.0,0.0,0.09,,,0,KRN
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,16.0,8.3,60,0.0,,0.09,,,0,KRN
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,18.4,9.7,57,0.0,0.0,0.09,,,0,KRN
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,17.6,8.7,56,0.0,,0.09,,,0,KRN
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,19.3,10.3,56,0.0,,0.09,,,0,KRN
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,19.2,8.8,51,0.0,0.0,0.09,,,0,KRN
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,18.4,8.1,51,0.0,0.0,0.09,,,0,KRN
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,16.8,7.7,55,0.0,0.0,0.09,,,0,KRN
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,14.6,8.6,67,0.0,0.0,0.09,,,0,KRN
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,13.8,7.3,65,0.0,0.0,0.09,,,0,KRN
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,13.9,7.4,65,0.0,0.0,0.0,,,0,KRN
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,13.8,7.1,64,0.0,0.0,0.0,,,0,KRN
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,13.1,6.0,62,0.0,0.0,0.0,,,0,KRN
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,14.4,7.0,61,0.0,0.0,0.0,,,0,KRN
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,14.1,7.2,63,0.0,0.0,0.0,,,0,KRN
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,11.6,8.8,83,0.0,0.0,0.0,,,0,KRN
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,15.0,8.7,66,0.0,,0.09,,,0,KRN
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,16.7,8.7,59,0.0,0.0,0.09,,,0,KRN
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,17.0,8.4,57,0.0,,0.09,,,0,KRN
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,13.8,6.2,60,0.0,,0.0,,,0,KRN
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,12.0,8.8,81,0.12,0.12,0.25,,,0,KRN
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,13.5,9.9,79,0.1,0.57,0.82,,,0,KRN
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,16.2,11.8,75,0.0,,0.82,,,0,KRN
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,18.0,9.9,59,0.0,,0.82,,,0,KRN
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,18.0,9.1,56,0.0,0.0,0.82,,,0,KRN
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,17.0,8.9,59,0.0,0.0,0.82,,,0,KRN
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,17.7,9.1,57,0.0,0.0,0.82,,,0,KRN
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,14.8,7.1,60,0.0,0.0,0.82,,,0,KRN
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,12.2,8.3,77,0.03,0.27,1.09,,,0,KRN
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,11.4,9.0,85,0.0,0.27,0.27,,,0,KRN
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,10.7,7.8,82,0.28,2.61,2.88,,,0,KRN
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,11.1,8.2,82,0.0,0.0,2.88,,,0,KRN
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,10.6,7.5,81,0.0,0.0,2.88,,,0,KRN
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,10.6,7.1,79,0.0,0.0,2.88,,,0,KRN
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,12.1,6.8,70,0.0,,0.0,,,0,KRN
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,11.6,7.5,76,0.0,,0.0,,,0,KRN
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,11.3,7.2,76,0.0,0.0,0.0,,,0,KRN
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,11.5,6.8,73,0.0,0.0,0.0,,,0,KRN
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,12.1,7.6,74,0.0,0.0,0.0,,,0,KRN
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,11.3,5.4,67,0.0,0.0,0.0,,,0,KRN
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,12.3,6.6,68,0.0,0.13,0.13,,,0,KRN
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,12.1,8.0,76,0.0,0.0,0.13,,,0,KRN
24.04.2025 0:40 UTC,24.04.2025 2:40 CEST,11.1,6.8,75,0.0,,2.88,,,0,KRN
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,14.4,9.8,74,0.0,0.0,0.0,,,0,KRN
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,15.6,9.7,68,0.0,0.0,0.0,,,0,KRN
24.04.2025 12:10 UTC,24.04.2025 14:10 CEST,17.5,9.2,58,0.0,,0.0,,,0,KRN
24.04.2025 13:10 UTC,24.04.2025 15:10 CEST,14.6,8.3,66,0.0,,0.0,,,0,KRN
24.04.2025 14:00 UTC,24.04.2025 16:00 CEST,12.7,7.6,71,0.0,0.0,0.0,,,0,KRN
24.04.2025 15:00 UTC,24.04.2025 17:00 CEST,11.7,8.9,83,0.23,0.23,0.23,,,0,KRN
24.04.2025 16:00 UTC,24.04.2025 18:00 CEST,9.6,7.2,85,1.3,6.21,6.44,,,0,KRN
24.04.2025 2:10 UTC,24.04.2025 4:10 CEST,10.9,6.1,72,0.0,,2.88,,,0,KRN
24.04.2025 3:20 UTC,24.04.2025 5:20 CEST,11.2,6.6,73,0.0,,2.88,,,0,KRN
24.04.2025 4:00 UTC,24.04.2025 6:00 CEST,11.2,6.4,72,0.0,0.0,2.88,,,0,KRN
24.04.2025 5:00 UTC,24.04.2025 7:00 CEST,11.0,6.8,75,0.0,0.0,2.88,,,0,KRN
24.04.2025 6:00 UTC,24.04.2025 8:00 CEST,11.2,7.1,76,0.0,0.0,2.88,,,0,KRN
24.04.2025 7:00 UTC,24.04.2025 9:00 CEST,12.9,8.4,74,0.0,0.0,0.0,,,0,KRN
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,13.1,9.2,77,0.0,0.0,0.0,,,0,KRN
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,13.7,9.0,73,0.0,0.0,0.0,,,0,KRN
