timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,21.1,14.8,67,0.0,0.0,0.0,2.5,298,,Krško
22.04.2025 13:00 UTC,22.04.2025 15:00 CEST,24.6,11.8,45,0.0,0.0,0.0,2.8,115,,Krško
23.04.2025 0:30 UTC,23.04.2025 2:30 CEST,13.4,13.1,98,0.0,,0.0,0.7,186,,Krško
23.04.2025 2:00 UTC,23.04.2025 4:00 CEST,11.7,11.6,99,0.0,0.0,0.0,1.1,279,,Krško
23.04.2025 3:00 UTC,23.04.2025 5:00 CEST,11.5,11.4,99,0.0,0.0,0.0,1.3,233,,Krško
24.04.2025 13:00 UTC,24.04.2025 15:00 CEST,15.3,15.2,99,2.5,8.1,8.2,1.9,282,,Krško
25.04.2025 0:30 UTC,25.04.2025 2:30 CEST,12.7,12.6,99,0.1,,0.1,1.1,311,,Krško
25.04.2025 12:00 UTC,25.04.2025 14:00 CEST,12.5,12.4,99,0.8,1.6,3.8,1.2,304,,Krško
25.04.2025 13:00 UTC,25.04.2025 15:00 CEST,12.6,12.0,96,0.8,1.6,5.4,1.8,286,,Krško
25.04.2025 2:00 UTC,25.04.2025 4:00 CEST,12.7,12.6,99,0.1,0.1,0.3,0.9,328,,Krško
25.04.2025 3:00 UTC,25.04.2025 5:00 CEST,12.6,12.5,99,0.1,0.2,0.5,0.7,263,,Krško
26.04.2025 0:30 UTC,26.04.2025 2:30 CEST,10.4,10.3,100,0.3,,2.7,1.7,262,,Krško
26.04.2025 12:00 UTC,26.04.2025 14:00 CEST,12.3,12.2,99,0.4,0.8,5.8,0.6,74,,Krško
26.04.2025 2:00 UTC,26.04.2025 4:00 CEST,10.4,10.3,100,0.3,0.7,3.7,1.2,248,,Krško
26.04.2025 3:00 UTC,26.04.2025 5:00 CEST,10.3,10.2,100,0.4,0.9,4.6,1.6,237,,Krško
