timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,14.9,7.9,63,0,0.33,0.33,2.42,68,0,LISCA
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,14.9,7.5,61,0,,0.33,3.45,64,0,LISCA
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,15.6,7.6,59,0,0.0,0.33,2.58,95,0,LISCA
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,18.0,9.4,57,0,,0.33,1.4,72,0,LISCA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,15.6,8.6,63,0,,0.33,2.02,94,0,LISCA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,15.4,7.4,59,0,0.0,0.33,0.94,93,0,LISCA
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,16.6,8.3,58,0,0.0,0.33,2.11,60,0,LISCA
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,15.1,8.4,64,0,0.0,0.33,2.66,33,0,LISCA
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,14.7,7.5,62,0,0.0,0.33,3.61,63,0,LISCA
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,14.6,5.7,55,0,0.0,0.33,4.04,76,0,LISCA
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,14.7,5,52,0,0,0,4.01,70,0,LISCA
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,11.9,6.6,70,0,0.0,0.0,4.03,71,0,LISCA
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,12.5,6.6,67,0,,0.0,4.1,71,0,LISCA
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,11.9,7.2,73,0,0.0,0.0,2.54,72,0,LISCA
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,14.3,11.5,83,0,,0.33,2.1,83,0,LISCA
