timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,21.5,12.4,56,,,,1.61,109,,LJUBLJANA - VIČ
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,21.3,9.9,48,,,,1.57,114,,LJUBLJANA - VIČ
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,23.3,11.7,48,,,,1.83,120,,LJUBLJANA - VIČ
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,22.9,9.3,42,,,,2.34,134,,LJUBLJANA - VIČ
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,22.3,10.1,46,,,,1.8,132,,LJUBLJANA - VIČ
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,20.9,10.7,52,,,,1.44,138,,LJUBLJANA - VIČ
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,19.2,12.9,67,,,,0.6,92,,LJUBLJANA - VIČ
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,20.8,13.7,64,,,,0.82,169,,LJUBLJANA - VIČ
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,20.1,11.6,58,,,,0.38,177,,LJUBLJANA - VIČ
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,18.0,12.9,72,,,,0.19,334,,LJUBLJANA - VIČ
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,15.9,12.6,81,,,,0.44,215,,LJUBLJANA - VIČ
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,14.4,12.6,89,,,,0.39,146,,LJUBLJANA - VIČ
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,13.9,12.5,91,,,,0.38,192,,LJUBLJANA - VIČ
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,13.9,12.5,91,,,,0.3,193,,LJUBLJANA - VIČ
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,13.8,12.2,90,,,,0.43,345,,LJUBLJANA - VIČ
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,14.2,10.0,76,,,,0.37,222,,LJUBLJANA - VIČ
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,16.7,11.2,70,,,,0.52,351,,LJUBLJANA - VIČ
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,17.8,13.3,75,,,,0.47,24,,LJUBLJANA - VIČ
