timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,15.8,9.9,68,0,0.0,0.0,,,0,LOGARSKA DOLINA
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,16.2,8.2,59,0,,0.0,,,0,LOGARSKA DOLINA
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,16.4,7.9,57,0,0.0,0.0,,,0,LOGARSKA DOLINA
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,14.8,11.2,79,0,,0.21,,,0,LOGARSKA DOLINA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,16.5,9.9,65,0,,0.21,,,0,LOGARSKA DOLINA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,17.1,9.0,59,0,0.0,0.21,,,0,LOGARSKA DOLINA
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,17.6,9.5,59,0,0.0,0.21,,,0,LOGARSKA DOLINA
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,17.6,10.2,62,0,0,0.21,,,0,LOGARSKA DOLINA
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,10.5,8.3,86,0,0.0,0.0,,,0,LOGARSKA DOLINA
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,15.2,9.1,67,0,,0.0,,,0,LOGARSKA DOLINA
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,15.7,7.5,58,0,0.0,0.0,,,0,LOGARSKA DOLINA
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,15.5,9.2,66,0,,0.0,,,0,LOGARSKA DOLINA
