timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,18.5,11.1,62,0,0.0,0,,,0,LOGATEC
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,18.7,11.8,64,0,,0,,,0,LOGATEC
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,19.6,10.6,56,0,0.0,0,,,0,LOGATEC
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,19.3,9.5,53,0,,0,,,0,LOGATEC
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,19.2,11.0,59,0,,0,,,0,LOGATEC
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,17.5,11.1,66,0,0.0,0,,,0,LOGATEC
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,19.1,11.7,62,0,0.0,0,,,0,LOGATEC
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,19.7,9.3,51,0,0.0,0,,,0,LOGATEC
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,18.9,11.7,63,0,0.0,0,,,0,LOGATEC
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,16.0,11.8,76,0,0.0,0,,,0,LOGATEC
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,13.5,10.5,82,0,0.0,0,,,0,LOGATEC
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,10.9,9.7,92,0,0.0,0,,,0,LOGATEC
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,10.2,9.6,96,0,0.0,0,,,0,LOGATEC
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,9.9,9.3,96,0,0.0,0,,,0,LOGATEC
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,8.4,7.8,96,0,0.0,0,,,0,LOGATEC
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,12.7,10.2,85,0,0.0,0,,,0,LOGATEC
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,17.0,10.4,65,0,,0,,,0,LOGATEC
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,17.4,11.2,67,0,0.0,0,,,0,LOGATEC
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,17.9,11.0,64,0,,0,,,0,LOGATEC
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,8.0,7.7,98,0,,0,,,0,LOGATEC
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,7.8,7.5,98,0,,0,,,0,LOGATEC
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,7.1,6.8,98,0,,0,,,0,LOGATEC
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,6.8,6.5,98,0,0.0,0,,,0,LOGATEC
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,7.3,7.3,100,0,0.0,0,,,0,LOGATEC
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,11.1,9.9,92,0,0,0,,,0,LOGATEC
