timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,21.1,11.0,53,0.0,0.0,0.1,0.9,81,,MALKOVEC
22.04.2025 12:00 UTC,22.04.2025 14:00 CEST,21.6,11.8,54,0.0,0.0,0.1,1.3,109,,MALKOVEC
22.04.2025 13:00 UTC,22.04.2025 15:00 CEST,23.0,12.1,50,0.0,0.0,0.1,0.6,116,,MALKOVEC
22.04.2025 8:30 UTC,22.04.2025 10:30 CEST,16.6,11.4,71,0.1,,0.1,0.8,104,,MALKOVEC
23.04.2025 0:30 UTC,23.04.2025 2:30 CEST,15.0,8.5,65,0.0,,0.0,1.7,32,,MALKOVEC
23.04.2025 2:00 UTC,23.04.2025 4:00 CEST,14.7,7.7,63,0.0,0.0,0.0,0.9,90,,MALKOVEC
23.04.2025 3:00 UTC,23.04.2025 5:00 CEST,13.8,7.6,66,0.0,0.0,0.0,0.4,36,,MALKOVEC
24.04.2025 13:00 UTC,24.04.2025 15:00 CEST,14.6,11.9,84,0.0,0.2,0.2,2.3,24,,MALKOVEC
25.04.2025 0:30 UTC,25.04.2025 2:30 CEST,11.0,10.5,97,0.0,,0.2,1.1,26,,MALKOVEC
25.04.2025 2:00 UTC,25.04.2025 4:00 CEST,10.8,10.4,97,0,0,0.2,0.6,30,,MALKOVEC
