timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,,,,,,,,,,MARINČA VAS
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,,,,,,,,,,MARINČA VAS
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,,,,,,,,,,MARINČA VAS
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,,,,,,,,,,MARINČA VAS
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,,,,,,,,,,MARINČA VAS
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,21.9,11.9,53.0,0.0,,0.0,,,0.0,MARINČA VAS
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,21.1,13.0,60.0,0.0,0.0,0.0,,,0.0,MARINČA VAS
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,18.9,14.8,77.0,0.0,0.0,0.0,,,0.0,MARINČA VAS
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,20.5,13.2,63.0,0.0,0.0,0.0,,,0.0,MARINČA VAS
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,17.2,13.9,81.0,0.0,0.0,0.0,,,0.0,MARINČA VAS
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,13.1,11.7,91.0,0.0,0.0,0.0,,,0.0,MARINČA VAS
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,13.0,12.2,95.0,0.0,0.0,0.0,,,0.0,MARINČA VAS
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,13.2,12.3,94.0,0.0,0.0,0.0,,,0.0,MARINČA VAS
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,,,,,,,,,,MARINČA VAS
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,,,,,,,,,,MARINČA VAS
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,,,,,,,,,,MARINČA VAS
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,,,,,,,,,,MARINČA VAS
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,,,,,,,,,,MARINČA VAS
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,20.2,11.2,56.0,0.0,,1.56,,,0.0,MARINČA VAS
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,20.7,10.8,53.0,0.0,0.0,1.56,,,0.0,MARINČA VAS
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,19.0,13.6,71.0,0.0,0.0,1.56,,,0.0,MARINČA VAS
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,14.7,12.4,86.0,0.0,0.0,1.56,,,0.0,MARINČA VAS
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,12.3,10.9,91.0,0.0,0.0,0.0,,,0.0,MARINČA VAS
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,11.1,10.2,94.0,0.0,0.0,0.0,,,0.0,MARINČA VAS
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,,,,,,,,,,MARINČA VAS
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,,,,,,,,,,MARINČA VAS
24.04.2025 0:40 UTC,24.04.2025 2:40 CEST,,,,,,,,,,MARINČA VAS
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,,,,,,,,,,MARINČA VAS
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,,,,,,,,,,MARINČA VAS
24.04.2025 12:10 UTC,24.04.2025 14:10 CEST,,,,,,,,,,MARINČA VAS
24.04.2025 13:10 UTC,24.04.2025 15:10 CEST,,,,,,,,,,MARINČA VAS
24.04.2025 14:00 UTC,24.04.2025 16:00 CEST,,,,,,,,,,MARINČA VAS
24.04.2025 15:00 UTC,24.04.2025 17:00 CEST,,,,,,,,,,MARINČA VAS
24.04.2025 16:00 UTC,24.04.2025 18:00 CEST,13.8,12.9,94.0,0.21,,8.74,,,0.0,MARINČA VAS
24.04.2025 17:00 UTC,24.04.2025 19:00 CEST,14.1,13.0,93.0,0.0,0.54,9.28,,,0.0,MARINČA VAS
24.04.2025 18:00 UTC,24.04.2025 20:00 CEST,13.8,13.0,95.0,0.09,0.41,9.69,,,0.0,MARINČA VAS
24.04.2025 19:00 UTC,24.04.2025 21:00 CEST,13.3,12.7,96.0,0.1,0.49,0.49,,,0.0,MARINČA VAS
24.04.2025 20:00 UTC,24.04.2025 22:00 CEST,,,,,,,,,,MARINČA VAS
24.04.2025 21:00 UTC,24.04.2025 23:00 CEST,,,,,,,,,,MARINČA VAS
