timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,23.9,11.6,46,0,0.0,0,1.75,187,,NOVA GORICA
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,24.4,10.7,42,0,,0,2.19,132,,NOVA GORICA
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,25.9,10.5,38,0,0.0,0,1.39,46,,NOVA GORICA
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,27.0,10.7,36,0,,0,1.62,173,,NOVA GORICA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,26.2,11.9,41,0,,0,1.34,8,,NOVA GORICA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,25.4,10.5,39,0,0.0,0,1.24,82,,NOVA GORICA
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,23.4,11.1,46,0,0.0,0,0.64,333,,NOVA GORICA
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,23.6,12.9,51,0,0,0,0.69,151,,NOVA GORICA
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,15.3,12.4,83,0,0.0,0,0.78,326,,NOVA GORICA
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,20.3,12.5,61,0,,0,0.51,215,,NOVA GORICA
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,21.7,11.7,53,0,0.0,0,1.78,175,,NOVA GORICA
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,23.2,12.2,50,0,,0,0.94,23,,NOVA GORICA
