timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,21.6,9.8,47,0.0,0.0,0.0,,,0,OSILNICA
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,21.9,10.7,49,0.0,,0.0,,,0,OSILNICA
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,22.2,10.4,47,0.0,0.0,0.0,,,0,OSILNICA
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,22.0,10.5,48,0.0,,0.0,,,0,OSILNICA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,23.2,11.0,46,0.0,,0.0,,,0,OSILNICA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,24.1,10.8,43,0.0,0.0,0.0,,,0,OSILNICA
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,23.6,10.3,43,0.0,0.0,0.0,,,0,OSILNICA
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,20.4,11.1,55,,,,,,0,OSILNICA
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,19.3,13.0,67,0.0,,0.0,,,0,OSILNICA
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,17.6,12.9,74,0.0,0.0,0.0,,,0,OSILNICA
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,15.1,13.1,88,0.0,0.0,0.0,,,0,OSILNICA
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,14.0,12.9,93,0.0,0.0,0.0,,,0,OSILNICA
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,13.4,12.5,94,0.0,0.0,0.0,,,0,OSILNICA
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,12.1,11.5,96,0.0,0.0,0.0,,,0,OSILNICA
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,11.3,10.1,92,0.0,0.0,0.0,,,0,OSILNICA
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,18.9,11.7,63,0.0,,0.0,,,0,OSILNICA
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,19.8,10.5,55,0.0,0.0,0.0,,,0,OSILNICA
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,21.8,11.2,51,0.0,,0.0,,,0,OSILNICA
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,10.3,10.0,98,0.0,,0.0,,,0,OSILNICA
