timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,17.2,13.0,76,,,,1.3,266,,PIRAN - BOJA
22.04.2025 12:00 UTC,22.04.2025 14:00 CEST,18.3,13.4,73,,,,3.5,251,,PIRAN - BOJA
22.04.2025 13:00 UTC,22.04.2025 15:00 CEST,18.6,14.4,77,,,,3.8,239,,PIRAN - BOJA
22.04.2025 8:30 UTC,22.04.2025 10:30 CEST,16.7,13.3,80,,,,1.9,277,,PIRAN - BOJA
23.04.2025 0:30 UTC,23.04.2025 2:30 CEST,16.8,13.0,78,,,,2.1,170,,PIRAN - BOJA
23.04.2025 2:00 UTC,23.04.2025 4:00 CEST,16.2,12.5,79,,,,2.0,177,,PIRAN - BOJA
23.04.2025 3:00 UTC,23.04.2025 5:00 CEST,18.2,12.6,70,,,,8.4,335,,PIRAN - BOJA
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,17.3,12.3,73,,,,2.7,269,,PIRAN - BOJA
24.04.2025 13:00 UTC,24.04.2025 15:00 CEST,17.5,13.2,76,,,,3.4,242,,PIRAN - BOJA
24.04.2025 3:00 UTC,24.04.2025 5:00 CEST,16.1,10.1,67,,,,1.8,170,,PIRAN - BOJA
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,18.5,12.5,68,,,,0.4,133,,PIRAN - BOJA
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,17.2,11.8,70,,,,1.3,273,,PIRAN - BOJA
25.04.2025 0:30 UTC,25.04.2025 2:30 CEST,17.3,9.6,61,,,,4.0,63,,PIRAN - BOJA
25.04.2025 12:00 UTC,25.04.2025 14:00 CEST,14.8,8.5,66,,,,7.7,50,,PIRAN - BOJA
25.04.2025 13:00 UTC,25.04.2025 15:00 CEST,15.6,8.6,63,,,,6.6,43,,PIRAN - BOJA
25.04.2025 2:00 UTC,25.04.2025 4:00 CEST,17.2,9.4,60,,,,4.0,76,,PIRAN - BOJA
25.04.2025 3:00 UTC,25.04.2025 5:00 CEST,17.0,9.5,61,,,,6.7,73,,PIRAN - BOJA
26.04.2025 0:30 UTC,26.04.2025 2:30 CEST,13.4,8.8,74,,,,4.9,80,,PIRAN - BOJA
26.04.2025 2:00 UTC,26.04.2025 4:00 CEST,12.9,8.6,75,,,,4.7,69,,PIRAN - BOJA
26.04.2025 3:00 UTC,26.04.2025 5:00 CEST,13,8.6,75,,,,4.4,59,,PIRAN - BOJA
