timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,8.2,6.0,86,0.0,0.0,0.29,5.42,126,,RATITOVEC
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,7.7,6.2,90,0.0,,0.29,4.54,120,,RATITOVEC
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,8.6,8.0,96,0.0,0.0,0.29,4.8,104,,RATITOVEC
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,9.8,7.2,84,0.0,,0.48,4.01,135,,RATITOVEC
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,9.4,6.8,84,0.0,,0.48,3.72,98,,RATITOVEC
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,10.5,7.0,79,0.0,0.0,0.48,3.24,105,,RATITOVEC
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,9.2,5.8,79,0.0,0.0,0.48,3.66,136,,RATITOVEC
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,9.6,5.8,77,0.0,0.0,0.48,3.15,102,,RATITOVEC
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,8.7,5.1,78,0.0,0.0,0.48,2.99,105,,RATITOVEC
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,7.6,5.4,86,0.0,0.0,0.48,3.98,90,,RATITOVEC
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,7.9,5.5,85,0.0,0.0,0.0,4.91,113,,RATITOVEC
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,7.8,6.1,89,0.0,0.0,0.0,4.58,107,,RATITOVEC
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,7.8,5.6,86,0.0,0.0,0.0,4.5,109,,RATITOVEC
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,7.9,4.9,81,0.0,0.0,0.0,4.88,111,,RATITOVEC
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,6.8,5.4,91,0.0,0.0,0.0,6.61,97,,RATITOVEC
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,7.3,4.4,82,0.0,0.0,0.0,3.36,100,,RATITOVEC
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,6.8,6.2,96,0.0,,0.0,5.02,114,,RATITOVEC
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,7.9,6.8,93,0.04,0.29,0.29,4.66,119,,RATITOVEC
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,8.2,6.0,86,0.0,,0.29,6.1,132,,RATITOVEC
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,6.5,3.8,83,0.0,,0.0,4.18,85,,RATITOVEC
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,6.2,5.2,93,0.0,0.37,0.72,3.16,114,,RATITOVEC
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,6.9,5.7,92,0.0,0.0,0.72,1.97,90,,RATITOVEC
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,9.1,5.1,76,0.0,,0.72,3.12,82,,RATITOVEC
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,8.8,6.1,83,0.0,,0.72,3.24,133,,RATITOVEC
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,8.5,5.8,83,0.0,0.0,0.72,3.15,113,,RATITOVEC
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,7.8,5.6,86,0.0,0.0,0.72,3.25,117,,RATITOVEC
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,7.4,5.2,86,0.0,0.0,0.72,2.73,135,,RATITOVEC
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,7.0,4.5,84,0.0,0.0,0.72,3.62,128,,RATITOVEC
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,6.5,4.8,89,0.0,0.0,0.72,3.27,186,,RATITOVEC
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,6.2,4.5,89,0.0,0.0,0.0,3.87,190,,RATITOVEC
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,6.3,4.8,90,0.0,0.0,0.0,2.67,229,,RATITOVEC
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,6.3,3.8,84,0.0,0.0,0.0,1.32,266,,RATITOVEC
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,6.2,4.0,86,0.0,0.0,0.0,1.42,262,,RATITOVEC
