timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,19.6,8.5,49,0.0,0.0,0.0,0.7,5,,RAVNE NA KOROŠKEM
22.04.2025 12:00 UTC,22.04.2025 14:00 CEST,18.1,13.8,76,0.0,0.0,1.14,1.4,118,,RAVNE NA KOROŠKEM
22.04.2025 13:00 UTC,22.04.2025 15:00 CEST,18.9,12.0,64,0.0,0.0,1.14,2.8,104,,RAVNE NA KOROŠKEM
22.04.2025 8:30 UTC,22.04.2025 10:30 CEST,19.1,8.9,51,0.0,,0.0,1.2,128,,RAVNE NA KOROŠKEM
23.04.2025 0:30 UTC,23.04.2025 2:30 CEST,11.9,10.5,91,0.0,,0.0,0.6,64,,RAVNE NA KOROŠKEM
23.04.2025 2:00 UTC,23.04.2025 4:00 CEST,12.0,10.5,91,0.0,0.0,0.0,0.7,2,,RAVNE NA KOROŠKEM
23.04.2025 3:00 UTC,23.04.2025 5:00 CEST,12.3,11.0,92,0.0,0.0,0.0,0.8,346,,RAVNE NA KOROŠKEM
24.04.2025 13:00 UTC,24.04.2025 15:00 CEST,14.2,11.0,81,0.0,0.0,0.0,1.4,262,,RAVNE NA KOROŠKEM
25.04.2025 0:30 UTC,25.04.2025 2:30 CEST,10.2,9.6,96,0.0,,2.23,1.2,268,,RAVNE NA KOROŠKEM
25.04.2025 12:00 UTC,25.04.2025 14:00 CEST,9.1,8.0,93,0.82,1.65,5.3,1.4,254,,RAVNE NA KOROŠKEM
25.04.2025 13:00 UTC,25.04.2025 15:00 CEST,9.1,8.3,95,0.82,1.84,7.14,1.5,242,,RAVNE NA KOROŠKEM
25.04.2025 2:00 UTC,25.04.2025 4:00 CEST,9.6,9.0,96,0.2,0.2,2.43,0.5,215,,RAVNE NA KOROŠKEM
25.04.2025 3:00 UTC,25.04.2025 5:00 CEST,9.5,8.9,96,0.4,0.81,3.24,1.1,267,,RAVNE NA KOROŠKEM
