timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,20.1,12.6,62,0,0.0,0.11,0.95,122,0,ROGAŠKA SLATINA
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,20.9,11.5,55,0,,0.11,1.31,83,0,ROGAŠKA SLATINA
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,20.6,10.1,51,0,0.0,0.11,2.47,358,0,ROGAŠKA SLATINA
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,21.8,8.7,43,0,,0.11,2.41,7,0,ROGAŠKA SLATINA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,23.0,9.8,43,0,,0.11,1.05,44,0,ROGAŠKA SLATINA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,23.1,10.9,46,0,0.0,0.11,1.5,94,0,ROGAŠKA SLATINA
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,23.0,8.3,39,0,0.0,0.11,1.44,357,0,ROGAŠKA SLATINA
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,22.0,7.4,39,0,0.0,0.11,1.18,28,0,ROGAŠKA SLATINA
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,20.1,7.2,43,0,0.0,0.11,0.99,57,0,ROGAŠKA SLATINA
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,17.8,8.1,53,0,0.0,0.11,0.31,49,0,ROGAŠKA SLATINA
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,15.7,8.7,63,0,0.0,0.0,0.49,171,0,ROGAŠKA SLATINA
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,14.3,8.7,69,0,0.0,0.0,0.85,116,0,ROGAŠKA SLATINA
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,13.8,9.3,74,0,0.0,0.0,0.59,14,0,ROGAŠKA SLATINA
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,13.7,9.2,74,0,0.0,0.0,0.62,319,0,ROGAŠKA SLATINA
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,13.4,8.7,73,0,0.0,0.0,0.4,234,0,ROGAŠKA SLATINA
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,16.0,11.2,73,0,0.0,0.0,1.4,119,0,ROGAŠKA SLATINA
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,16.2,12.8,80,0,,0.11,0.72,219,0,ROGAŠKA SLATINA
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,17.0,12.9,77,0,0.11,0.11,1.76,157,0,ROGAŠKA SLATINA
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,18.5,11.8,65,0,,0.11,0.51,86,0,ROGAŠKA SLATINA
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,11.1,9.2,88,0,,0.0,0.65,82,0,ROGAŠKA SLATINA
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,11.4,8.3,81,0,,0.0,0.61,11,0,ROGAŠKA SLATINA
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,10.9,8.3,84,0,,0.0,0.73,269,0,ROGAŠKA SLATINA
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,10.9,8.8,87,0,0.0,0.0,1.17,302,0,ROGAŠKA SLATINA
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,11.4,9.7,89,0,0.0,0.0,0.59,252,0,ROGAŠKA SLATINA
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,12,9.9,87,0,0,0,0.8,244,0,ROGAŠKA SLATINA
