timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,10.7,7.0,78,0,0.0,0,1.09,120,0,ROGLA
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,10.7,6.5,75,0,,0,1.64,86,0,ROGLA
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,9.7,5.7,76,0,0.0,0,3.43,145,0,ROGLA
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,11.4,7.1,75,0,,0,2.48,133,0,ROGLA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,11.8,5.0,63,0,,0,2.34,139,0,ROGLA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,11.9,6.2,68,0,0,0,1.85,127,0,ROGLA
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,10.4,5.2,70,0,0.0,0,2.87,23,0,ROGLA
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,10.8,3.8,62,0,,0,3.06,48,0,ROGLA
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,11.1,5.2,67,0,0.0,0,3.15,98,0,ROGLA
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,10.2,7.6,84,0,,0,2.63,133,0,ROGLA
