timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,12.7,6.3,65,0,0.0,0.26,1.22,224,0,RUDNO POLJE
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,11.9,6.4,69,0,,0.26,1.68,133,0,RUDNO POLJE
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,12.1,6.2,67,0,0.0,0.26,1.11,233,0,RUDNO POLJE
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,12.2,6.3,67,0,,0.26,0.4,98,0,RUDNO POLJE
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,12.0,7.3,73,0,,0.26,1.74,3,0,RUDNO POLJE
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,11.8,7.5,75,0,0.0,0.26,2.12,356,0,RUDNO POLJE
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,11.9,7.4,74,0,0.0,0.26,1.02,339,0,RUDNO POLJE
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,9.7,8.6,93,0,1.91,2.17,1.06,332,0,RUDNO POLJE
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,8.7,7.9,95,0,0.0,2.17,0.84,14,0,RUDNO POLJE
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,7.6,7.0,96,0,0.0,2.17,0.57,327,0,RUDNO POLJE
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,7.6,7.3,98,0,0.0,0.0,0.56,350,0,RUDNO POLJE
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,7.3,6.9,97,0,0.0,0.0,0.42,321,0,RUDNO POLJE
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,6.5,6.1,97,0,0.0,0.0,0.45,307,0,RUDNO POLJE
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,6.7,6.4,98,0,0.0,0.0,0.54,315,0,RUDNO POLJE
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,7.1,7.0,99,0,0.0,0.0,0.32,207,0,RUDNO POLJE
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,8.6,7.4,92,0,0.12,0.12,0.55,25,1,RUDNO POLJE
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,10.6,7.1,79,0,,0.26,1.0,300,0,RUDNO POLJE
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,10.9,6.8,76,0,0.14,0.26,1.05,101,0,RUDNO POLJE
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,12.7,7.2,69,0,,0.26,1.76,161,0,RUDNO POLJE
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,7.5,7.2,98,0,,0.0,0.32,19,0,RUDNO POLJE
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,9.5,5.5,76,0,0.0,0.0,0.74,148,0,RUDNO POLJE
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,9.1,7.1,87,0,0.0,0.0,0.6,304,0,RUDNO POLJE
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,10.7,5.7,71,0,,0.05,0.64,205,0,RUDNO POLJE
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,11.1,7.4,78,0,,0.05,0.62,317,0,RUDNO POLJE
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,10.8,6.8,76,0,0.0,0.05,0.98,360,0,RUDNO POLJE
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,9.7,7.3,85,0,0.14,0.19,0.66,334,0,RUDNO POLJE
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,10.3,7.4,82,0,0.0,0.19,0.69,294,0,RUDNO POLJE
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,9.5,7.6,88,0,0.0,0.19,0.42,333,0,RUDNO POLJE
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,8.9,7.7,92,0,0.0,0.19,0.52,6,0,RUDNO POLJE
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,7.8,6.7,93,0,0.0,0.0,0.39,302,0,RUDNO POLJE
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,6.6,5.7,94,0,0.0,0.0,0.32,265,0,RUDNO POLJE
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,5.6,4.9,95,0,0.0,0.0,0.24,300,0,RUDNO POLJE
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,5.2,4.8,97,0,0.0,0.0,0.38,231,0,RUDNO POLJE
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,5.6,5.3,98,0,0.82,0.82,0.4,236,0,RUDNO POLJE
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,7.1,7.0,99,0,,0.0,0.49,6,0,RUDNO POLJE
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,7.0,6.7,98,0,,0.0,0.45,313,0,RUDNO POLJE
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,7.1,6.8,98,0,0.0,0.0,0.48,185,0,RUDNO POLJE
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,7.4,7.3,99,0,0.0,0.0,0.35,354,0,RUDNO POLJE
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,7.9,7.6,98,0,0.0,0.0,0.34,281,0,RUDNO POLJE
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,9.1,8.5,96,0,0.0,0.0,0.34,347,0,RUDNO POLJE
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,9.3,8.2,93,0,0.0,0.0,0.48,337,0,RUDNO POLJE
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,9.3,7.3,87,0,0.0,0.0,0.71,296,0,RUDNO POLJE
24.04.2025 0:40 UTC,24.04.2025 2:40 CEST,4.5,4.2,98,0,,0.82,0.51,329,0,RUDNO POLJE
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,8.8,7.7,93,0,0.79,0.79,0.43,155,0,RUDNO POLJE
24.04.2025 2:10 UTC,24.04.2025 4:10 CEST,5.1,5.0,99,0,,3.6,0.32,26,0,RUDNO POLJE
24.04.2025 3:20 UTC,24.04.2025 5:20 CEST,4.7,4.4,98,0,,3.67,0.32,291,0,RUDNO POLJE
24.04.2025 4:00 UTC,24.04.2025 6:00 CEST,5.0,4.9,99,0,0.0,3.67,0.42,304,0,RUDNO POLJE
24.04.2025 5:00 UTC,24.04.2025 7:00 CEST,5.5,5.4,99,0,0.0,3.67,0.33,299,0,RUDNO POLJE
24.04.2025 6:00 UTC,24.04.2025 8:00 CEST,6.0,5.9,99,0,0.0,3.67,0.26,319,0,RUDNO POLJE
24.04.2025 7:00 UTC,24.04.2025 9:00 CEST,8.3,7.4,94,0,0.0,0.0,0.78,13,0,RUDNO POLJE
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,9.4,6.8,84,0,0.0,0.0,1.45,10,0,RUDNO POLJE
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,8.0,6.1,88,0,0.0,0.0,1.63,340,0,RUDNO POLJE
