timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,16.7,8.4,58,0,0.0,0,,,0,SEVNO
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,17.5,8.1,54,0,,0,,,0,SEVNO
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,17.6,9.0,57,0,0.0,0,,,0,SEVNO
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,18.1,8.4,53,0,,0,,,0,SEVNO
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,19.1,9.0,52,0,,0,,,0,SEVNO
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,19.2,9.1,52,0,0,0,,,0,SEVNO
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,15.2,9.1,67,0,0.0,0,,,0,SEVNO
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,15.9,10.2,69,0,,0,,,0,SEVNO
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,15.5,10.5,72,0,0.0,0,,,0,SEVNO
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,17.4,10.5,64,0,,0,,,0,SEVNO
