timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,16.8,6.6,51,0,0.0,0,4.61,83,0,SLAVNIK
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,17.4,5.7,46,0,,0,2.23,101,0,SLAVNIK
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,17.2,7.6,53,0,0.0,0,0.9,318,0,SLAVNIK
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,15.6,7.9,60,0,,0,2.81,37,0,SLAVNIK
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,17.1,7.5,53,0,,0,3.97,47,0,SLAVNIK
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,13.9,7.0,63,0,0.0,0,4.03,51,0,SLAVNIK
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,14.1,6.9,62,0,0.0,0,5.15,60,0,SLAVNIK
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,14.3,7.4,63,0,0,0,4.76,58,0,SLAVNIK
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,13.6,4.8,55,0,0.0,0,3.34,61,0,SLAVNIK
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,14.8,6.6,58,0,,0,4.55,96,0,SLAVNIK
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,14.9,6.5,57,0,0.0,0,4.62,78,0,SLAVNIK
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,16.0,6.2,52,0,,0,5.25,102,0,SLAVNIK
