timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,17.1,12.8,76,0,0.56,0.56,,,,TREBNJE
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,17.4,12.7,74,0,,0.56,,,,TREBNJE
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,18.6,12.8,69,0,0.0,0.56,,,,TREBNJE
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,21.1,10.3,50,0,,0.56,,,,TREBNJE
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,21.9,11.6,52,0,,0.56,,,,TREBNJE
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,22.4,12.4,53,0,0.0,0.56,,,,TREBNJE
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,21.6,10.4,49,0,0.0,0.56,,,,TREBNJE
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,20.6,11.5,56,0,0,0.56,,,,TREBNJE
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,16.1,10.8,71,0,0.0,0.0,,,,TREBNJE
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,17.6,10.5,63,0,,0.0,,,,TREBNJE
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,16.7,11.4,71,0,0.0,0.0,,,,TREBNJE
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,16.4,13.1,81,0,,0.56,,,,TREBNJE
