timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,17.9,,81,,,,0.5,233,,TRŽAŠKI ZALIV
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,18.4,,78,,,,1.3,180,,TRŽAŠKI ZALIV
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,18.7,,82,,,,4.0,254,,TRŽAŠKI ZALIV
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,19.0,,85,,,,3.6,253,,TRŽAŠKI ZALIV
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,19.6,,84,,,,2.9,224,,TRŽAŠKI ZALIV
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,19.8,,82,,,,3.3,257,,TRŽAŠKI ZALIV
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,17.2,,82,,,,0.6,325,,TRŽAŠKI ZALIV
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,16.6,,86,,,,3.8,80,,TRŽAŠKI ZALIV
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,17.3,,83,,,,0.3,323,,TRŽAŠKI ZALIV
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,17.6,,82,,,,1.2,3,,TRŽAŠKI ZALIV
