timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,10.4,5.4,71,0.0,0.0,1.34,,,43,VRŠIČ
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,10.3,5.3,71,0.0,,1.34,,,43,VRŠIČ
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,10.6,4.7,67,0.0,0.0,1.34,,,42,VRŠIČ
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,10.0,5.4,73,0.0,,1.34,,,42,VRŠIČ
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,10.9,5.2,68,0.0,,1.34,,,41,VRŠIČ
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,12.0,5.0,62,0.0,0.0,1.34,,,41,VRŠIČ
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,10.4,5.0,69,0.0,0.0,1.34,,,40,VRŠIČ
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,9.2,5.4,77,0.0,0.0,1.34,,,40,VRŠIČ
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,8.1,5.4,83,0.0,0.0,1.34,,,40,VRŠIČ
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,7.9,5.5,85,0.0,0.0,1.34,,,40,VRŠIČ
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,7.1,4.4,83,0.0,0.0,0.0,,,40,VRŠIČ
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,6.7,5.0,89,0.0,0.0,0.0,,,40,VRŠIČ
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,6.4,4.1,85,0.0,0.0,0.0,,,40,VRŠIČ
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,6.0,4.0,87,0.0,0.0,0.0,,,40,VRŠIČ
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,6.1,5.2,94,0.11,0.11,0.11,,,40,VRŠIČ
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,5.8,3.6,86,0.26,0.7,0.7,,,45,VRŠIČ
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,8.1,5.9,86,0.0,,1.34,,,44,VRŠIČ
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,8.6,6.1,84,0.0,0.0,1.34,,,44,VRŠIČ
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,9.9,5.3,73,0.0,,1.34,,,44,VRŠIČ
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,5.0,4.6,97,0.0,,0.52,,,39,VRŠIČ
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,4.6,4.0,96,0.0,,0.52,,,39,VRŠIČ
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,4.6,4.2,97,0,,0.52,,,39,VRŠIČ
