timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,9.2,5.9,80,0.0,0.0,0.0,1.5,53,24.0,Vogel
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,9.1,5.8,80,0.0,,0.0,0.81,357,24.0,Vogel
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,8.9,5.5,79,0.0,0.0,0.0,0.89,14,23.0,Vogel
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,9.3,5.9,79,0.0,,0.0,0.84,145,23.0,Vogel
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,10.4,5.6,72,0.0,,0.0,1.26,172,23.0,Vogel
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,10.6,5.8,72,0.0,0.0,0.0,1.12,76,22.0,Vogel
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,10.4,6.0,74,0.0,0.0,0.0,1.47,173,21.0,Vogel
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,10.5,6.5,76,0.0,0.0,0.0,1.64,50,21.0,Vogel
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,9.0,5.9,81,0.0,0.0,0.0,0.71,156,21.0,Vogel
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,8.1,5.4,83,0.0,0.0,0.0,0.97,114,20.0,Vogel
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,7.4,5.4,87,0.0,0.0,0.0,1.35,99,20.0,Vogel
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,7.0,5.5,90,0.0,0.0,0.0,0.9,156,20.0,Vogel
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,7.3,5.3,87,0.0,0.0,0.0,0.96,116,20.0,Vogel
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,8.2,5.7,84,0.0,0.0,0.0,1.37,75,20.0,Vogel
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,8.6,3.9,72,0.0,0.0,0.0,0.73,15,25.0,Vogel
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,8.2,5.0,80,0.0,,0.0,1.79,42,24.0,Vogel
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,8.9,5.5,79,0.0,0.0,0.0,2.09,53,24.0,Vogel
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,9.1,5.7,79,0.0,,0.0,1.59,38,24.0,Vogel
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,6.9,5.4,90,0.0,,0.0,0.8,124,19.0,Vogel
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,7.9,4.9,81,0.0,0.0,0.0,1.15,65,17.0,Vogel
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,7.4,4.9,84,0.0,0.0,0.0,1.57,8,16.0,Vogel
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,8.8,5.2,78,0.0,,0.0,1.15,1,15.0,Vogel
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,8.8,5.2,78,0.0,,0.0,1.31,101,15.0,Vogel
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,8.7,5.1,78,0.0,0.0,0.0,0.46,134,15.0,Vogel
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,8.9,5.3,78,0.0,0.0,0.0,0.63,174,15.0,Vogel
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,8.8,5.6,80,0.0,0.0,0.0,0.42,192,14.0,Vogel
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,8.0,4.9,81,0.0,0.0,0.0,0.59,167,14.0,Vogel
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,7.5,4.8,83,0.0,0.0,0.0,1.04,142,14.0,Vogel
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,6.1,4.6,90,0.0,0.29,0.29,0.76,195,14.0,Vogel
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,6.6,4.3,85,0.0,0.0,0.29,1.53,202,14.0,Vogel
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,6.3,2.6,77,0.0,0.0,0.29,1.25,211,14.0,Vogel
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,6.7,2.6,75,0.5,0.5,0.79,2.2,164,14.0,Vogel
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,4.7,3.2,90,0.0,0.07,0.86,0.18,189,13.0,Vogel
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,5.5,4.0,90,0.0,,0.0,0.5,236,19.0,Vogel
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,6.2,4.0,86,0.0,,0.0,1.27,122,19.0,Vogel
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,6.8,4.5,85,0.0,0.0,0.0,1.1,99,19.0,Vogel
