timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,15.8,10.3,70.0,0.0,0.27,0.27,,,0.0,ZADLOG
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,18.1,11.7,66.0,0.0,,0.27,,,0.0,ZADLOG
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,17.2,9.9,62.0,0.0,0.0,0.27,,,0.0,ZADLOG
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,18.2,8.8,54.0,0.0,,0.27,,,0.0,ZADLOG
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,18.2,8.8,54.0,0.0,,0.27,,,0.0,ZADLOG
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,17.8,9.2,57.0,0.0,0.0,0.27,,,0.0,ZADLOG
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,18.5,8.8,53.0,0.0,0.0,0.27,,,0.0,ZADLOG
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,18.6,8.6,52.0,0.0,0.0,0.27,,,0.0,ZADLOG
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,18.1,9.2,56.0,0.0,0.0,0.27,,,0.0,ZADLOG
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,13.5,8.8,73.0,0.0,0.0,0.27,,,0.0,ZADLOG
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,10.2,7.8,85.0,0.0,0.0,0.0,,,0.0,ZADLOG
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,8.8,7.6,92.0,0.0,0.0,0.0,,,0.0,ZADLOG
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,8.1,7.2,94.0,0.0,0.0,0.0,,,0.0,ZADLOG
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,8.3,7.4,94.0,0.0,0.0,0.0,,,0.0,ZADLOG
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,7.2,6.3,94.0,0.0,0.0,0.0,,,0.0,ZADLOG
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,14.9,8.8,67.0,0.0,,0.0,,,,ZADLOG
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,14.5,9.1,70.0,0.0,0.0,0.0,,,0.0,ZADLOG
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,14.4,10.4,77.0,0.0,,0.27,,,0.0,ZADLOG
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,6.2,5.5,95.0,0.0,,0.0,,,0.0,ZADLOG
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,11.8,8.8,82.0,0.0,0.5,0.5,,,0.0,ZADLOG
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,14.7,10.3,75.0,0.0,0.2,0.7,,,0.0,ZADLOG
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,17.1,9.8,62.0,0.0,,0.7,,,0.0,ZADLOG
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,16.6,9.5,63.0,0.0,,0.7,,,0.0,ZADLOG
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,16.3,9.5,64.0,0.0,0.0,0.7,,,0.0,ZADLOG
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,14.9,9.3,69.0,0.0,0.0,0.7,,,0.0,ZADLOG
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,15.4,9.1,66.0,0.0,0.0,0.7,,,0.0,ZADLOG
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,14.2,10.2,77.0,0.0,0.0,0.7,,,0.0,ZADLOG
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,12.4,9.2,81.0,0.0,0.0,0.7,,,0.0,ZADLOG
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,10.1,8.2,88.0,0.0,0.0,0.0,,,0.0,ZADLOG
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,9.0,8.1,94.0,0.0,0.0,0.0,,,0.0,ZADLOG
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,8.3,7.4,94.0,0.0,0.0,0.0,,,0.0,ZADLOG
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,7.5,6.8,95.0,0.0,0.0,0.0,,,0.0,ZADLOG
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,6.5,5.9,96.0,0.0,0.0,0.0,,,0.0,ZADLOG
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,5.9,5.5,97.0,0.0,,0.0,,,0.0,ZADLOG
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,5.3,4.9,97.0,0.0,,0.0,,,0.0,ZADLOG
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,6.3,6.0,98.0,0.22,1.62,1.62,,,0.0,ZADLOG
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,7.6,7.5,99.0,0.0,0.0,1.62,,,0.0,ZADLOG
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,10.6,10.4,99.0,0.0,0.0,1.62,,,0.0,ZADLOG
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,12.2,8.7,79.0,0.0,0.0,0.0,,,0.0,ZADLOG
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,14.3,9.1,71.0,0.0,0.0,0.0,,,0.0,ZADLOG
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,14.4,7.2,62.0,0.0,0.0,0.0,,,0.0,ZADLOG
24.04.2025 0:40 UTC,24.04.2025 2:40 CEST,5.4,4.8,96.0,0.0,,0.0,,,0.0,ZADLOG
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,11.6,9.2,85.0,0.0,0.71,0.71,,,0.0,ZADLOG
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,12.1,9.1,82.0,0.0,0.0,0.71,,,0.0,ZADLOG
24.04.2025 12:10 UTC,24.04.2025 14:10 CEST,15.9,9.8,67.0,0.0,,0.71,,,0.0,ZADLOG
24.04.2025 13:10 UTC,24.04.2025 15:10 CEST,17.3,9.0,58.0,0.0,,0.71,,,0.0,ZADLOG
24.04.2025 14:00 UTC,24.04.2025 16:00 CEST,15.2,7.7,61.0,0.0,0.0,0.71,,,0.0,ZADLOG
24.04.2025 15:00 UTC,24.04.2025 17:00 CEST,11.3,9.2,87.0,1.34,1.89,2.6,,,0.0,ZADLOG
24.04.2025 16:00 UTC,24.04.2025 18:00 CEST,10.8,9.9,94.0,0.58,1.86,4.46,,,0.0,ZADLOG
24.04.2025 17:00 UTC,24.04.2025 19:00 CEST,10.5,9.7,95.0,0.21,0.83,5.29,,,0.0,ZADLOG
24.04.2025 18:00 UTC,24.04.2025 20:00 CEST,10.5,9.9,96.0,0.11,0.16,5.45,,,0.0,ZADLOG
24.04.2025 19:00 UTC,24.04.2025 21:00 CEST,10.1,9.6,97.0,0.0,0.07,0.07,,,0.0,ZADLOG
24.04.2025 20:00 UTC,24.04.2025 22:00 CEST,10.1,9.6,97.0,0.0,0.0,0.07,,,0.0,ZADLOG
24.04.2025 21:00 UTC,24.04.2025 23:00 CEST,10.2,9.7,97.0,0.0,0.0,0.07,,,0.0,ZADLOG
24.04.2025 22:00 UTC,25.04.2025 0:00 CEST,10.2,9.6,96.0,0.0,0.0,0.07,,,0.0,ZADLOG
24.04.2025 23:00 UTC,25.04.2025 1:00 CEST,10.0,9.4,96.0,0.0,0.0,0.07,,,0.0,ZADLOG
24.04.2025 2:10 UTC,24.04.2025 4:10 CEST,4.5,3.9,96.0,0.0,,0.0,,,0.0,ZADLOG
24.04.2025 3:20 UTC,24.04.2025 5:20 CEST,5.6,5.3,98.0,0.0,,0.0,,,0.0,ZADLOG
24.04.2025 4:00 UTC,24.04.2025 6:00 CEST,5.2,4.6,96.0,0.0,0.0,0.0,,,0.0,ZADLOG
24.04.2025 5:00 UTC,24.04.2025 7:00 CEST,5.6,5.5,99.0,0.0,0.0,0.0,,,0.0,ZADLOG
24.04.2025 6:00 UTC,24.04.2025 8:00 CEST,8.4,,,0.0,0.0,0.0,,,0.0,ZADLOG
24.04.2025 7:00 UTC,24.04.2025 9:00 CEST,10.6,10.0,96.0,0.0,0.0,0.0,,,0.0,ZADLOG
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,12.9,9.4,79.0,0.0,0.0,0.0,,,0.0,ZADLOG
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,12.3,9.5,83.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 0:40 UTC,25.04.2025 2:40 CEST,9.7,9.1,96.0,0.0,,0.07,,,0.0,ZADLOG
25.04.2025 10:00 UTC,25.04.2025 12:00 CEST,8.8,6.4,85.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 11:00 UTC,25.04.2025 13:00 CEST,8.8,6.3,84.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 12:10 UTC,25.04.2025 14:10 CEST,9.7,6.4,80.0,0.0,,0.0,,,0.0,ZADLOG
25.04.2025 13:10 UTC,25.04.2025 15:10 CEST,10.6,6.0,73.0,0.0,,0.0,,,0.0,ZADLOG
25.04.2025 14:00 UTC,25.04.2025 16:00 CEST,10.5,5.9,73.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 15:00 UTC,25.04.2025 17:00 CEST,10.6,5.6,71.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 16:00 UTC,25.04.2025 18:00 CEST,10.5,5.3,70.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 17:00 UTC,25.04.2025 19:00 CEST,10.3,5.1,70.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 18:00 UTC,25.04.2025 20:00 CEST,9.4,5.6,77.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 19:00 UTC,25.04.2025 21:00 CEST,8.5,6.0,84.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 20:00 UTC,25.04.2025 22:00 CEST,7.9,6.2,89.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 21:00 UTC,25.04.2025 23:00 CEST,7.6,5.9,89.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 22:00 UTC,26.04.2025 0:00 CEST,7.7,5.8,88.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 23:00 UTC,26.04.2025 1:00 CEST,7.7,6.2,90.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 2:10 UTC,25.04.2025 4:10 CEST,9.1,7.7,91.0,0.0,,0.07,,,0.0,ZADLOG
25.04.2025 3:20 UTC,25.04.2025 5:20 CEST,8.5,7.4,93.0,0.07,,0.14,,,0.0,ZADLOG
25.04.2025 4:00 UTC,25.04.2025 6:00 CEST,8.1,7.2,94.0,0.0,0.43,0.5,,,0.0,ZADLOG
25.04.2025 5:00 UTC,25.04.2025 7:00 CEST,7.8,6.9,94.0,0.0,0.85,1.35,,,0.0,ZADLOG
25.04.2025 6:00 UTC,25.04.2025 8:00 CEST,7.9,7.0,94.0,0.1,0.19,1.54,,,0.0,ZADLOG
25.04.2025 7:00 UTC,25.04.2025 9:00 CEST,7.8,6.7,93.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 8:00 UTC,25.04.2025 10:00 CEST,8.3,5.9,85.0,0.0,0.0,0.0,,,0.0,ZADLOG
25.04.2025 9:00 UTC,25.04.2025 11:00 CEST,8.8,6.3,84.0,0.0,0.0,0.0,,,0.0,ZADLOG
26.04.2025 0:40 UTC,26.04.2025 2:40 CEST,7.3,6.4,94.0,0.05,,0.47,,,0.0,ZADLOG
26.04.2025 10:00 UTC,26.04.2025 12:00 CEST,10.3,7.4,82.0,0.0,0.0,0.0,,,0.0,ZADLOG
26.04.2025 11:00 UTC,26.04.2025 13:00 CEST,10.0,7.3,83.0,0.0,0.0,0.0,,,0.0,ZADLOG
26.04.2025 12:10 UTC,26.04.2025 14:10 CEST,11.2,8.1,81.0,0.0,,0.0,,,0.0,ZADLOG
26.04.2025 13:10 UTC,26.04.2025 15:10 CEST,11.1,8.5,84.0,0.0,,0.0,,,0.0,ZADLOG
26.04.2025 14:00 UTC,26.04.2025 16:00 CEST,11.3,8.2,81.0,0.0,0.0,0.0,,,0.0,ZADLOG
26.04.2025 15:00 UTC,26.04.2025 17:00 CEST,11.5,8.0,79.0,0.0,0.0,0.0,,,0.0,ZADLOG
26.04.2025 16:00 UTC,26.04.2025 18:00 CEST,11.3,8.3,82.0,0.0,0.0,0.0,,,0.0,ZADLOG
26.04.2025 17:00 UTC,26.04.2025 19:00 CEST,10.8,8.2,84.0,0.0,0.0,0.0,,,0.0,ZADLOG
26.04.2025 18:00 UTC,26.04.2025 20:00 CEST,9.9,8.2,89.0,0.0,0.0,0.0,,,0.0,ZADLOG
26.04.2025 18:50 UTC,26.04.2025 20:50 CEST,9.6,8.0,90.0,0.0,,0.0,,,0.0,ZADLOG
26.04.2025 20:00 UTC,26.04.2025 22:00 CEST,9.2,8.3,94.0,0.0,0.0,0.0,,,0.0,ZADLOG
26.04.2025 21:00 UTC,26.04.2025 23:00 CEST,8.9,8.3,96.0,0.17,0.37,0.37,,,0.0,ZADLOG
