timestamp_utc,timestamp_local,temperature,dew_point,rel_humidity,precipitation,precipitation_1h,precipitation_12h,wind_speed,wind_direction,snow,station
22.04.2025 10:00 UTC,22.04.2025 12:00 CEST,13.8,9.3,74,0.0,0.0,0.55,,,0,ZGORNJA RADOVNA
22.04.2025 10:20 UTC,22.04.2025 12:20 CEST,13.5,9.6,77,0.0,,0.55,,,0,ZGORNJA RADOVNA
22.04.2025 11:00 UTC,22.04.2025 13:00 CEST,13.6,9.7,77,0.0,0.0,0.55,,,0,ZGORNJA RADOVNA
22.04.2025 12:10 UTC,22.04.2025 14:10 CEST,14.1,9.9,76,0.0,,0.67,,,0,ZGORNJA RADOVNA
22.04.2025 13:10 UTC,22.04.2025 15:10 CEST,16.3,9.3,63,0.0,,0.67,,,0,ZGORNJA RADOVNA
22.04.2025 14:00 UTC,22.04.2025 16:00 CEST,17.2,8.4,56,0.0,0.0,0.67,,,0,ZGORNJA RADOVNA
22.04.2025 15:00 UTC,22.04.2025 17:00 CEST,15.3,11.3,77,0.0,0.0,0.67,,,0,ZGORNJA RADOVNA
22.04.2025 16:00 UTC,22.04.2025 18:00 CEST,13.9,11.2,84,0.29,0.29,0.96,,,0,ZGORNJA RADOVNA
22.04.2025 17:00 UTC,22.04.2025 19:00 CEST,11.7,10.8,94,0.0,0.78,1.74,,,0,ZGORNJA RADOVNA
22.04.2025 18:00 UTC,22.04.2025 20:00 CEST,10.1,9.3,95,0.0,0.0,1.74,,,0,ZGORNJA RADOVNA
22.04.2025 19:00 UTC,22.04.2025 21:00 CEST,8.8,8.2,96,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
22.04.2025 20:00 UTC,22.04.2025 22:00 CEST,8.5,7.9,96,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
22.04.2025 21:00 UTC,22.04.2025 23:00 CEST,7.4,6.8,96,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
22.04.2025 22:00 UTC,23.04.2025 0:00 CEST,7.8,7.4,97,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
22.04.2025 23:00 UTC,23.04.2025 1:00 CEST,8.7,8.4,98,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
22.04.2025 7:00 UTC,22.04.2025 9:00 CEST,11.6,9.9,89,0.02,0.55,0.55,,,0,ZGORNJA RADOVNA
22.04.2025 8:40 UTC,22.04.2025 10:40 CEST,14.3,8.5,68,0.0,,0.55,,,0,ZGORNJA RADOVNA
22.04.2025 9:00 UTC,22.04.2025 11:00 CEST,14.5,10.1,75,0.0,0.0,0.55,,,0,ZGORNJA RADOVNA
22.04.2025 9:40 UTC,22.04.2025 11:40 CEST,14.3,9.5,73,0.0,,0.55,,,0,ZGORNJA RADOVNA
23.04.2025 0:40 UTC,23.04.2025 2:40 CEST,9.6,9.0,96,0.0,,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 10:00 UTC,23.04.2025 12:00 CEST,12.2,9.9,86,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 11:00 UTC,23.04.2025 13:00 CEST,12.6,8.3,75,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 12:10 UTC,23.04.2025 14:10 CEST,14.9,8.2,64,0.0,,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 13:10 UTC,23.04.2025 15:10 CEST,15.6,7.9,60,0.0,,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 14:00 UTC,23.04.2025 16:00 CEST,15.3,7.8,61,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 15:00 UTC,23.04.2025 17:00 CEST,14.7,8.2,65,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 16:00 UTC,23.04.2025 18:00 CEST,13.2,11.1,87,0.0,1.2,1.2,,,0,ZGORNJA RADOVNA
23.04.2025 17:00 UTC,23.04.2025 19:00 CEST,13.0,10.9,87,0.0,0.0,1.2,,,0,ZGORNJA RADOVNA
23.04.2025 18:00 UTC,23.04.2025 20:00 CEST,11.6,10.7,94,0.0,1.04,2.24,,,0,ZGORNJA RADOVNA
23.04.2025 19:00 UTC,23.04.2025 21:00 CEST,10.3,9.5,95,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 20:00 UTC,23.04.2025 22:00 CEST,9.2,8.4,95,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 21:00 UTC,23.04.2025 23:00 CEST,9.2,8.7,97,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 22:00 UTC,24.04.2025 0:00 CEST,8.3,7.7,96,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 23:00 UTC,24.04.2025 1:00 CEST,8.1,7.5,96,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 2:10 UTC,23.04.2025 4:10 CEST,9.4,8.8,96,0.0,,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 3:20 UTC,23.04.2025 5:20 CEST,9.9,9.0,94,0.0,,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 4:00 UTC,23.04.2025 6:00 CEST,9.6,8.8,95,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 5:00 UTC,23.04.2025 7:00 CEST,9.8,9.2,96,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 6:00 UTC,23.04.2025 8:00 CEST,10.3,9.4,94,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 7:00 UTC,23.04.2025 9:00 CEST,11.9,7.8,76,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 8:00 UTC,23.04.2025 10:00 CEST,11.9,9.6,86,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
23.04.2025 9:00 UTC,23.04.2025 11:00 CEST,13.0,7.9,71,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
24.04.2025 0:40 UTC,24.04.2025 2:40 CEST,6.6,6.2,97,0.0,,0.0,,,0,ZGORNJA RADOVNA
24.04.2025 10:00 UTC,24.04.2025 12:00 CEST,11.3,9.9,91,0.43,0.7,0.7,,,0,ZGORNJA RADOVNA
24.04.2025 11:00 UTC,24.04.2025 13:00 CEST,13.9,9.4,74,0.0,0.26,0.96,,,0,ZGORNJA RADOVNA
24.04.2025 12:10 UTC,24.04.2025 14:10 CEST,15.1,9.5,69,0.0,,0.96,,,0,ZGORNJA RADOVNA
24.04.2025 13:10 UTC,24.04.2025 15:10 CEST,14.4,7.9,65,0.0,,0.96,,,0,ZGORNJA RADOVNA
24.04.2025 14:00 UTC,24.04.2025 16:00 CEST,14.6,6.9,60,0.0,0.0,0.96,,,0,ZGORNJA RADOVNA
24.04.2025 15:00 UTC,24.04.2025 17:00 CEST,13.7,5.6,58,0.0,0.0,0.96,,,0,ZGORNJA RADOVNA
24.04.2025 16:00 UTC,24.04.2025 18:00 CEST,13.0,5.9,62,0.0,0.0,0.96,,,0,ZGORNJA RADOVNA
24.04.2025 17:00 UTC,24.04.2025 19:00 CEST,11.7,7.6,76,0.0,0.0,0.96,,,0,ZGORNJA RADOVNA
24.04.2025 18:00 UTC,24.04.2025 20:00 CEST,9.8,8.4,91,0.0,0.11,1.07,,,0,ZGORNJA RADOVNA
24.04.2025 19:00 UTC,24.04.2025 21:00 CEST,9.4,8.5,94,0.0,0.19,0.19,,,0,ZGORNJA RADOVNA
24.04.2025 20:00 UTC,24.04.2025 22:00 CEST,9.0,8.2,95,0.0,0.0,0.19,,,0,ZGORNJA RADOVNA
24.04.2025 21:00 UTC,24.04.2025 23:00 CEST,8.8,8.0,95,0.0,0.0,0.19,,,0,ZGORNJA RADOVNA
24.04.2025 22:00 UTC,25.04.2025 0:00 CEST,8.5,7.7,95,0.0,0.0,0.19,,,0,ZGORNJA RADOVNA
24.04.2025 23:00 UTC,25.04.2025 1:00 CEST,8.3,7.7,96,0.02,0.16,0.35,,,0,ZGORNJA RADOVNA
24.04.2025 2:10 UTC,24.04.2025 4:10 CEST,7.4,7.0,97,0.65,,1.38,,,0,ZGORNJA RADOVNA
24.04.2025 3:20 UTC,24.04.2025 5:20 CEST,7.8,7.4,97,0.0,,1.76,,,0,ZGORNJA RADOVNA
24.04.2025 4:00 UTC,24.04.2025 6:00 CEST,7.6,7.2,97,0.0,0.0,1.76,,,0,ZGORNJA RADOVNA
24.04.2025 5:00 UTC,24.04.2025 7:00 CEST,8.1,7.7,97,0.0,0.0,1.76,,,0,ZGORNJA RADOVNA
24.04.2025 6:00 UTC,24.04.2025 8:00 CEST,9.0,8.4,96,0.0,0.0,1.76,,,0,ZGORNJA RADOVNA
24.04.2025 7:00 UTC,24.04.2025 9:00 CEST,10.0,8.8,92,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
24.04.2025 8:00 UTC,24.04.2025 10:00 CEST,12.4,9.1,80,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
24.04.2025 9:00 UTC,24.04.2025 11:00 CEST,11.4,9.5,88,0.0,0.0,0.0,,,0,ZGORNJA RADOVNA
25.04.2025 0:40 UTC,25.04.2025 2:40 CEST,7.7,7.0,95,0.0,,0.78,,,0,ZGORNJA RADOVNA
25.04.2025 10:00 UTC,25.04.2025 12:00 CEST,8.9,5.6,80,0.0,0.0,0.97,,,0,ZGORNJA RADOVNA
25.04.2025 11:00 UTC,25.04.2025 13:00 CEST,9.3,3.9,69,0.0,0.0,0.97,,,0,ZGORNJA RADOVNA
25.04.2025 12:10 UTC,25.04.2025 14:10 CEST,8.4,6.5,88,0.16,,1.6,,,0,ZGORNJA RADOVNA
25.04.2025 13:10 UTC,25.04.2025 15:10 CEST,8.9,6.9,87,0.0,,2.15,,,0,ZGORNJA RADOVNA
25.04.2025 14:00 UTC,25.04.2025 16:00 CEST,9.5,5.5,76,0.09,0.16,2.31,,,0,ZGORNJA RADOVNA
25.04.2025 15:00 UTC,25.04.2025 17:00 CEST,10,5,71,0,0,2.31,,,0,ZGORNJA RADOVNA
25.04.2025 2:10 UTC,25.04.2025 4:10 CEST,7.2,6.6,96,0.05,,0.97,,,0,ZGORNJA RADOVNA
25.04.2025 3:20 UTC,25.04.2025 5:20 CEST,6.9,6.3,96,0.02,,1.35,,,0,ZGORNJA RADOVNA
25.04.2025 4:00 UTC,25.04.2025 6:00 CEST,6.9,6.3,96,0.04,0.32,1.55,,,0,ZGORNJA RADOVNA
25.04.2025 5:00 UTC,25.04.2025 7:00 CEST,6.9,6.2,95,0.07,0.5,2.05,,,0,ZGORNJA RADOVNA
