station,status,reason,test_mae,test_mse,test_rmse,full_mae,full_mse,full_rmse,model_path,pipeline_path,num_rows,num_samples
1070_Petanjci,trained,,0.02151693632067353,0.0010076704972099703,0.03174382612745304,0.041672514750873156,0.004724474021000798,0.06873480938360707,models\hidro\model_1070_Petanjci.keras,models\hidro\pipeline_1070_Petanjci.pkl,1697.0,1673.0
1100_Cankova,trained,,0.02929171456983599,0.0009366583838229947,0.03060487516430993,0.011451897457547428,0.0011561725223597533,0.03400253699887339,models\hidro\model_1100_Cankova.keras,models\hidro\pipeline_1100_Cankova.pkl,1470.0,1446.0
1140_Pristava,trained,,0.01852361985024005,0.0005041291208694417,0.022452819886808018,0.057383978503513206,0.009846293664713313,0.09922849220215589,models\hidro\model_1140_Pristava.keras,models\hidro\pipeline_1140_Pristava.pkl,1550.0,1526.0
1165_Nuskova,trained,,0.02257248930390775,0.0005246073242968775,0.022904307985548863,0.022686878887932947,0.004009954116460606,0.06332419850626304,models\hidro\model_1165_Nuskova.keras,models\hidro\pipeline_1165_Nuskova.pkl,1657.0,1633.0
1220_Polana,trained,,0.03479364221958925,0.0013437667037265223,0.03665742358276864,0.03982009323608921,0.0035424636299242105,0.059518599025214045,models\hidro\model_1220_Polana.keras,models\hidro\pipeline_1220_Polana.pkl,1697.0,1673.0
1260_Centiba,trained,,0.0800512508968965,0.007208796275674756,0.08490463047251755,0.02951035802445841,0.002702514473675267,0.051985714130665425,models\hidro\model_1260_Centiba.keras,models\hidro\pipeline_1260_Centiba.pkl,1702.0,1678.0
1300_Martjanci,trained,,0.019357170658902422,0.0006261047284723762,0.025022084814666747,0.02847561114832347,0.002862967846067805,0.0535067084211672,models\hidro\model_1300_Martjanci.keras,models\hidro\pipeline_1300_Martjanci.pkl,1687.0,1663.0
1312_Kobilje,trained,,0.04673544137451724,0.0063689171920784104,0.07980549600170661,0.16963919588580875,0.04041851598659504,0.20104356738427379,models\hidro\model_1312_Kobilje.keras,models\hidro\pipeline_1312_Kobilje.pkl,508.0,484.0
1335_Sredisce,trained,,0.028028969308016526,0.0009839645098023678,0.031368208584526595,0.021850220616489478,0.002479892796098493,0.049798522027249895,models\hidro\model_1335_Sredisce.keras,models\hidro\pipeline_1335_Sredisce.pkl,1675.0,1651.0
1355_Hodos,trained,,0.02176477118028383,0.0006528086836234199,0.025550121009956486,0.027776567189004578,0.002618585661034236,0.051172118004185016,models\hidro\model_1355_Hodos.keras,models\hidro\pipeline_1355_Hodos.pkl,1558.0,1534.0
2005_Crnece,trained,,0.08447919165094697,0.014453417551138733,0.12022236710004812,0.13129637744599976,0.025847881742056527,0.16077276430433274,models\hidro\model_2005_Crnece.keras,models\hidro\pipeline_2005_Crnece.pkl,1469.0,1445.0
2110_Ptuj,trained,,0.04202644586563107,0.0029374405580762605,0.05419816009862568,0.10517056797054321,0.01807515086182019,0.13444385765746306,models\hidro\model_2110_Ptuj.keras,models\hidro\pipeline_2110_Ptuj.pkl,1558.0,1534.0
2150_Borl,skipped,empty feature columns: ['pretok'],,,,,,,,,,
2160_Zavrc,trained,,0.007181787479528166,6.666651289385202e-05,0.008164956392648526,0.027677174459662984,0.003977395134740574,0.06306659285818898,models\hidro\model_2160_Zavrc.keras,models\hidro\pipeline_2160_Zavrc.pkl,1667.0,1643.0
2220_Crna,skipped,empty feature columns: ['pretok'],,,,,,,,,,
2372_Dovze,skipped,empty feature columns: ['pretok'],,,,,,,,,,
2432_Muta,trained,,0.041411074932462495,0.0018713841564516615,0.04325949787563029,0.015369975031053543,0.0008215966491885357,0.02866350727298625,models\hidro\model_2432_Muta.keras,models\hidro\pipeline_2432_Muta.pkl,1643.0,1619.0
2530_Ruta,trained,,0.007258074568404281,7.694039958826149e-05,0.008771567681336186,0.026370034576153008,0.004930976154434257,0.07022090966680977,models\hidro\model_2530_Ruta.keras,models\hidro\pipeline_2530_Ruta.pkl,1466.0,1442.0
2600_Zrece,trained,,0.03601804574330653,0.0025663060341741093,0.05065872120547566,0.038653585362679106,0.005016564808700878,0.07082771215210101,models\hidro\model_2600_Zrece.keras,models\hidro\pipeline_2600_Zrece.pkl,1585.0,1561.0
2620_Loce,trained,,0.013778857997158977,0.000248132131963394,0.015752210383415847,0.03376951491276044,0.005170665853154473,0.07190734213663076,models\hidro\model_2620_Loce.keras,models\hidro\pipeline_2620_Loce.pkl,1657.0,1633.0
