hidro_station,weather_station,status,hidro_rows,weather_rows,start_time,end_time,reason
1070_Petanjci,GORICKO,ok,506.0,408.0,2025-07-01 20:00:00,2025-07-18 23:30:00,
1100_Cankova,GORICKO,ok,506.0,408.0,2025-07-01 20:00:00,2025-07-18 23:30:00,
1140_Pristava,GORICKO,ok,506.0,408.0,2025-07-01 20:00:00,2025-07-18 23:30:00,
1165_Nuskova,GORICKO,ok,506.0,408.0,2025-07-01 20:00:00,2025-07-18 23:30:00,
1220_Polana,GORICKO,ok,506.0,408.0,2025-07-01 20:00:00,2025-07-18 23:30:00,
1260_Centiba,LENDAVA,skipped,,,,,hidro file missing
1300_Martjanci,GORICKO,ok,506.0,408.0,2025-07-01 20:00:00,2025-07-18 23:30:00,
1312_Kobilje,LENDAVA,ok,500.0,432.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
1335_Sredisce,LENDAVA,skipped,,,,,hidro file missing
1355_Hodos,GORICKO,skipped,,,,,hidro file missing
2110_Ptuj,PTUJ,ok,500.0,608.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
2150_Borl,PTUJ,ok,500.0,608.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
2160_Zavrc,PTUJ,skipped,,,,,hidro file missing
2719_Podlehnik,PTUJ,ok,500.0,608.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
2754_Trzec,PTUJ,skipped,,,,,hidro file missing
3420_Radovljica,LESCE,ok,500.0,434.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
3465_Okroglo,KRANJ,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
3530_Medno,KRANJ,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
3570_Sentjakob,LITIJA,skipped,,,,,hidro file missing
3660_Litija,LITIJA,ok,500.0,597.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
3725_Hrastnik,HRASTNIK,ok,500.0,714.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
3850_Catez,KRSKO,skipped,,,,,hidro file missing
4025_Ovsise,LESCE,skipped,,,,,hidro file missing
4050_Preska,KRANJ,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4120_Kokra,JEZERSKO,ok,500.0,575.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4155_Kranj,KRANJ,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4200_Suha,KRANJ,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4209_Medvode,KRANJ,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4222_Ziri,TOPOL,skipped,,,,,hidro file missing
4230_Zminec,KRANJ,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4270_Zelezniki,RATITOVEC,skipped,,,,,hidro file missing
4298_Vester,KRANJ,skipped,,,,,hidro file missing
4400_Kamnik,KRVAVEC,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4430_Vir,KRVAVEC,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4445_Bisce,KRVAVEC,skipped,,,,,hidro file missing
4480_Nevlje,KRVAVEC,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4515_Vir,KRVAVEC,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4520_Podrecje,KRVAVEC,skipped,,,,,hidro file missing
4570_Topole,KRVAVEC,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4575_Loka,KRVAVEC,ok,500.0,611.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4820_Petrina,KOCEVJE,ok,500.0,617.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4828_Sodevci,KOCEVJE,ok,500.0,617.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4860_Metlika,METLIKA,ok,500.0,597.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4960_Livold,KOCEVJE,ok,500.0,617.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
4969_Gradac,METLIKA,ok,500.0,597.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
5030_Vrhnika,VRHNIKA,ok,501.0,576.0,2025-07-02 00:30:00,2025-07-18 23:30:00,
5040_Kamin,VRHNIKA,ok,501.0,576.0,2025-07-02 00:30:00,2025-07-18 23:30:00,
5078_Moste,VRHNIKA,ok,501.0,576.0,2025-07-02 00:30:00,2025-07-18 23:30:00,
5240_Verd,VRHNIKA,ok,501.0,576.0,2025-07-02 00:30:00,2025-07-18 23:30:00,
5270_Bistra,VRHNIKA,ok,501.0,576.0,2025-07-02 00:30:00,2025-07-18 23:30:00,
