station,weather_station,reason
2005_Crnece,CRNECE,no matching weather station
2220_Crna,CRNA,no matching weather station
2372_Dovze,DOVZE,no matching weather station
2432_Muta,MUTA,no matching weather station
2530_Ruta,RUTA,no matching weather station
2600_Zrece,ZRECE,no matching weather station
2620_Loce,LOCE,no matching weather station
2640_Makole,MAKOLE,no matching weather station
2652_Videm,VIDEM,no matching weather station
2667_Perovec,PEROVEC,no matching weather station
2830_Ranca,RANCA,no matching weather station
2880_Gocova,GOCOVA,no matching weather station
2900_Zamusani,ZAMUSANI,no matching weather station
3060_Jesenice,JESENICE,no matching weather station
3180_Podhom,PODHOM,no matching weather station
3250_Bodesce,BODESCE,no matching weather station
3260_Ukanc,UKANC,no matching weather station
3350_Mlino,MLINO,no matching weather station
3370_Mlino,MLINO,no matching weather station
3400_Mlino,MLINO,no matching weather station
4095_Lajb,KRANJ,not enough hidro rows
4626_Zagorje,ZAGORJE,no matching weather station
4650_Zebnik,ZEBNIK,no matching weather station
4695_Jelovec,JELOVEC,no matching weather station
4710_Rogatec,ROGATEC,no matching weather station
4750_Rakovec,RAKOVEC,no matching weather station
4791_Zagaj,ZAGAJ,no matching weather station
4986_Dolenjce,METLIKA,not enough hidro rows
6835_Vodisko,VODISKO,no matching weather station
7230_Gradicek,TREBNJE,not enough hidro rows
7245_Fuzina,TREBNJE,not enough hidro rows
7350_Stopice,TREBNJE,not enough hidro rows
8453_Podroteja,OTLICA,not enough hidro rows
9077_Skocjan,SKOCJAN,not enough hidro rows
